ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
70,373,4,101,23,0,0,96,7,6,6,25,4,52,0,5,5,49,100,2,1,0,75,0
73,176,15,47,14,0,0,100,150,7,7,14,0,7,150,0,0,62,54,7,2,4,100,0
67,142,3,69,31,1,1,92,7,4,4,38,2,34,3,5,4,32,39,6,3,0,69,0
65,305,4,74,18,6,6,60,12,1,2,25,2,48,0,1,1,8,98,1,2,0,60,0
65,12,7,10,2,0,0,100,150,7,7,2,1,50,0,1,1,103,80,1,2,1,100,0
66,64,2,41,21,0,0,95,41,1,6,22,2,27,0,3,2,67,47,3,3,2,50,0
83,221,11,67,19,0,0,100,150,7,7,21,1,21,10,0,0,4,36,1,3,0,29,0
57,200,5,57,8,5,4,62,11,2,2,13,3,46,4,2,2,54,52,4,3,1,88,0
63,163,7,42,17,1,1,89,25,1,2,20,3,44,150,0,0,58,87,4,4,2,100,0
70,137,7,51,27,0,0,93,12,1,6,27,3,30,0,1,1,43,81,6,2,3,53,0
80,216,7,92,26,0,0,100,150,7,7,23,1,31,0,7,6,2,43,3,4,0,57,0
69,29,3,10,14,0,0,100,150,7,7,14,10,14,16,0,0,21,91,8,1,0,77,0
60,187,5,74,23,0,0,75,4,6,6,24,4,38,0,1,1,44,91,3,2,0,50,0
56,146,3,41,37,0,0,100,150,7,7,41,4,24,4,1,1,75,75,15,2,5,90,0
60,141,4,61,16,0,0,94,5,6,6,17,2,47,0,1,1,64,56,9,3,2,100,0
81,333,27,132,12,0,0,100,150,7,7,12,0,25,0,1,1,51,89,3,1,0,80,0
74,319,3,54,32,0,0,100,150,7,7,32,4,31,0,4,4,69,33,6,3,2,90,0
54,107,2,23,18,0,0,100,150,7,7,20,12,30,150,11,11,71,92,10,3,1,87,0
85,253,2,82,15,0,0,94,69,1,6,18,4,33,150,1,1,6,101,1,2,0,38,0
69,142,6,43,12,0,0,93,23,1,6,15,2,87,5,0,0,53,87,2,3,0,100,0
66,46,4,78,51,0,0,98,5,6,6,3,4,68,1,3,3,32,35,6,4,0,91,0
65,35,10,19,6,0,0,100,150,7,7,6,2,17,150,3,3,76,78,5,1,2,100,0
61,141,3,72,24,1,1,74,4,6,4,27,2,33,150,1,1,35,89,6,3,3,77,0
89,175,29,94,4,0,0,100,150,7,7,6,0,20,150,4,4,0,55,0,1,0,0,0
70,315,3,108,7,2,1,80,48,1,4,10,2,30,0,2,2,94,78,2,1,1,100,0
88,217,21,134,16,0,0,100,150,7,7,0,0,13,150,0,0,7,61,3,1,0,57,0
62,178,5,67,28,0,0,80,5,6,6,30,3,30,1,2,2,21,79,2,4,1,46,0
73,61,1,83,33,6,6,91,36,1,6,25,5,51,4,1,1,8,95,5,3,0,67,0
65,107,4,42,37,0,0,97,11,6,6,37,5,19,9,0,0,26,94,9,1,2,43,0
77,51,4,29,19,0,0,100,150,7,7,22,1,32,1,2,2,0,95,2,3,0,64,0
74,124,11,80,36,4,2,91,23,1,3,45,1,69,0,0,0,7,66,3,9,0,75,0
56,168,26,65,7,0,0,57,2,6,6,7,0,57,0,2,2,126,42,2,3,1,100,0
69,126,2,48,20,0,0,100,150,7,7,21,2,43,0,1,1,79,73,5,3,3,67,0
61,187,8,95,18,1,1,82,2,6,3,22,2,18,0,1,1,21,39,5,1,0,86,0
69,165,4,62,12,0,0,92,75,1,6,12,2,58,0,1,1,97,71,4,1,3,100,0
60,294,2,75,11,3,2,56,2,2,2,16,1,25,150,0,0,28,74,5,2,0,78,0
61,229,21,114,20,3,1,68,8,6,4,25,0,36,0,2,2,63,86,6,3,1,90,0
82,256,6,77,17,0,0,100,150,7,7,51,1,22,1,1,1,37,73,3,1,2,80,0
59,167,24,116,28,2,0,75,0,6,5,32,0,13,0,0,0,92,57,11,1,8,93,0
86,272,7,150,17,1,0,94,81,1,5,18,1,11,6,0,0,7,72,4,1,0,42,0
65,141,3,25,12,3,3,100,150,1,7,18,1,50,0,7,7,16,65,3,4,0,78,0
59,194,10,54,14,1,1,79,10,6,6,15,1,29,0,1,1,74,72,6,1,1,70,0
63,11,2,7,10,0,0,100,150,7,7,12,12,25,0,10,10,18,90,7,1,0,80,0
61,272,1,70,8,1,1,78,20,1,6,10,4,22,0,9,9,22,65,3,2,0,63,0
56,300,13,86,29,1,0,78,1,6,5,32,0,56,0,0,0,42,76,5,5,3,71,0
75,31,8,15,5,0,0,100,150,7,7,5,3,20,150,1,1,12,77,3,1,0,100,0
88,222,10,98,23,0,0,100,150,7,7,38,1,29,150,2,2,1,35,6,2,0,73,0
67,89,1,36,16,0,0,100,150,7,7,19,5,26,0,4,4,63,29,6,2,3,73,0
62,77,9,43,9,2,1,64,14,1,2,11,1,64,0,0,0,51,84,2,4,1,100,0
66,111,14,54,14,1,0,94,42,1,5,16,0,6,0,0,0,96,78,7,2,5,100,0
59,224,17,122,13,3,2,58,8,4,2,33,0,32,150,0,0,55,47,4,4,0,62,0
67,132,2,57,18,0,0,100,150,7,7,8,2,10,150,5,5,74,81,5,2,2,71,0
85,364,16,129,14,0,0,93,58,1,6,14,0,36,150,2,1,3,73,1,1,0,67,0
67,43,1,21,9,0,0,100,150,7,7,11,3,9,0,2,2,52,81,6,1,1,86,0
72,38,6,17,17,0,0,100,150,7,7,17,4,12,0,0,0,59,76,3,1,0,57,0
70,37,4,20,19,0,0,100,150,7,7,20,2,20,0,3,3,42,73,2,2,1,50,0
66,310,3,95,24,1,0,96,3,5,5,28,2,46,0,1,1,43,55,4,3,1,78,0
64,174,16,63,17,1,1,89,1,6,6,19,0,44,0,0,0,6,80,1,2,0,33,0
56,160,23,80,16,0,0,83,6,6,6,18,0,44,0,0,0,112,91,6,2,6,89,0
54,157,7,68,26,0,0,90,20,1,6,30,2,52,150,0,0,94,87,10,4,6,93,0
71,237,9,45,24,0,0,100,150,7,7,50,3,25,150,3,3,32,73,5,4,1,53,0
78,193,23,100,24,1,0,81,13,1,5,26,0,19,0,2,1,0,55,3,1,0,42,0
66,173,5,89,2,0,0,50,65,1,6,2,1,50,0,13,12,66,98,1,1,0,100,0
71,201,5,71,34,0,0,100,150,7,7,37,3,43,0,2,2,49,98,6,3,1,82,0
66,95,0,54,14,0,0,94,19,1,6,16,3,19,0,3,3,53,86,8,1,2,69,0
70,206,3,96,18,3,0,59,11,6,5,22,1,41,0,2,2,10,37,4,1,0,50,0
61,328,3,98,15,1,1,94,33,2,6,16,2,31,14,0,0,48,43,2,2,0,50,0
63,240,15,73,22,0,0,82,2,6,6,2,0,14,150,0,0,37,57,6,2,1,57,0
61,358,9,95,31,0,0,91,10,6,6,33,1,39,0,0,0,70,77,10,1,2,85,0
77,46,5,27,7,0,0,100,150,7,7,7,2,43,0,1,1,0,96,0,2,0,67,0
70,105,5,38,12,1,1,100,150,7,7,13,1,17,0,1,1,21,71,3,1,0,57,0
66,157,7,78,32,4,4,86,7,1,2,0,3,19,0,1,1,33,19,7,3,1,65,0
57,206,1,84,53,1,1,94,61,2,6,83,1,31,1,2,2,60,97,11,3,3,75,0
55,179,1,75,22,1,0,83,2,6,5,24,1,29,0,1,1,57,81,8,2,3,64,0
71,132,9,63,29,0,0,90,2,6,6,31,1,58,0,2,2,23,82,1,4,0,71,0
72,331,5,80,24,0,0,88,55,1,6,25,4,20,0,0,0,76,92,3,2,2,89,0
60,188,31,136,12,1,0,65,4,6,5,17,0,47,0,3,3,51,54,4,2,1,100,0
63,157,5,58,17,0,0,76,6,6,6,76,2,53,4,4,4,30,32,3,4,2,78,0
62,153,3,68,27,1,1,86,1,4,4,28,3,25,0,2,2,22,30,7,3,2,50,0
62,88,8,32,5,1,0,83,11,5,5,0,2,50,1,3,3,37,75,3,1,1,100,0
55,253,3,74,31,1,1,97,2,2,6,31,1,42,0,2,2,11,92,4,6,0,80,0
61,170,3,78,18,3,0,71,36,1,2,21,3,57,0,0,0,111,90,4,3,3,100,0
70,84,8,40,15,1,0,88,60,1,5,16,1,25,150,0,0,7,69,2,3,0,56,0
61,210,4,64,28,0,0,93,9,6,6,28,3,46,0,0,0,52,95,10,2,4,86,0
75,198,4,69,30,0,0,100,150,7,7,30,3,13,0,0,0,46,97,4,2,2,67,0
62,193,3,78,15,2,2,100,150,1,7,16,2,40,0,3,3,99,38,5,2,3,100,0
58,183,32,95,8,8,8,67,3,2,2,5,0,0,0,0,0,0,37,0,2,0,25,0
59,361,6,103,22,0,0,87,41,1,6,24,3,17,0,5,5,70,85,9,2,4,79,0
58,149,13,68,31,0,0,91,1,6,6,32,0,34,150,1,1,62,64,4,5,2,75,0
73,73,8,56,15,0,0,100,150,7,7,4,1,47,150,1,1,96,68,2,3,1,100,0
74,176,9,64,22,0,0,100,150,7,7,23,1,32,1,1,1,23,91,6,5,1,61,0
68,144,2,41,19,0,0,100,150,7,7,21,4,24,0,1,1,63,78,10,3,3,93,0
64,193,9,70,17,0,0,94,22,1,6,17,1,24,0,1,1,67,65,6,1,3,100,0
63,151,9,50,29,0,0,97,3,6,6,30,2,70,0,1,1,52,90,4,4,0,100,0
67,87,12,44,20,0,0,90,11,6,6,20,0,35,0,1,1,31,73,3,3,1,60,0
69,61,8,80,24,0,0,100,150,7,7,8,2,4,150,7,7,29,64,8,1,3,56,0
77,252,4,54,24,0,0,100,150,7,7,37,3,42,3,2,2,15,78,4,5,1,64,0
65,249,2,70,32,1,1,94,14,1,6,33,2,18,150,2,2,48,64,8,1,1,45,0
71,162,6,58,12,1,1,100,150,1,7,13,2,46,0,2,2,73,42,4,3,1,88,0
47,204,16,100,25,2,2,89,1,2,6,28,0,21,150,1,0,76,67,9,1,3,85,0
69,208,23,125,7,2,0,73,24,1,5,11,0,73,150,5,5,46,77,2,1,0,100,0
65,26,2,13,8,0,0,100,150,7,7,11,4,45,0,2,2,39,83,5,2,0,88,0
63,183,13,74,13,2,2,75,7,2,2,17,0,81,0,0,0,0,71,0,1,0,50,0
65,258,5,73,62,0,0,97,7,6,6,60,7,25,3,2,2,20,54,11,9,1,49,0
91,449,4,149,11,0,0,100,150,7,7,11,2,9,0,0,0,0,90,1,1,0,25,0
77,275,0,63,15,1,0,89,29,1,5,18,4,22,0,2,2,18,76,4,1,0,56,0
68,122,13,63,20,0,0,91,2,6,6,23,0,65,0,1,1,0,49,0,6,0,86,0
72,152,2,62,9,1,1,100,150,7,7,11,2,40,0,0,0,28,80,1,1,0,40,0
70,258,3,43,27,1,1,100,150,1,7,41,8,15,0,6,6,5,58,12,2,0,67,0
59,290,7,70,9,2,1,70,14,1,5,10,2,50,12,0,0,73,52,3,3,1,86,0
69,187,2,88,11,0,0,100,150,7,7,15,2,53,0,2,2,86,71,4,1,3,100,0
57,160,1,70,6,3,2,45,13,1,3,11,1,73,0,2,2,64,52,1,4,1,71,0
75,305,2,95,38,2,1,95,39,1,5,40,3,20,0,4,3,26,79,5,1,1,50,0
69,82,13,57,15,5,4,67,23,1,2,21,0,71,5,2,2,6,66,1,2,0,75,0
64,185,8,96,31,2,0,88,17,1,5,33,1,21,16,0,0,73,92,8,3,6,73,0
73,300,32,143,12,0,0,77,0,6,6,13,0,23,0,2,2,7,66,3,1,0,67,0
78,267,3,73,35,0,0,97,52,1,6,35,2,43,2,2,2,27,91,4,4,1,80,0
65,182,2,50,18,1,0,90,6,5,5,21,5,57,150,8,7,58,88,4,3,0,88,0
64,179,13,70,17,0,0,78,1,6,6,18,0,50,4,1,1,57,22,4,2,0,75,0
64,144,5,64,30,0,0,97,150,1,1,30,3,53,0,1,1,88,74,8,4,2,92,0
56,95,2,24,15,0,0,100,150,7,7,19,4,44,4,1,1,73,87,5,6,2,85,0
59,134,6,48,11,1,1,60,3,6,4,26,2,40,17,0,0,49,91,4,3,0,70,0
67,85,2,40,23,1,1,100,150,1,7,24,3,83,150,2,1,82,79,1,9,1,92,0
75,160,2,66,36,1,0,95,16,1,5,38,1,18,0,4,4,19,78,4,2,1,32,0
71,151,2,34,10,0,0,100,150,7,7,12,7,25,0,4,4,53,81,6,2,1,67,0
65,265,11,64,16,0,0,88,37,1,6,17,1,24,0,1,1,76,74,8,1,2,100,0
73,131,3,84,20,0,0,100,150,7,7,14,6,60,150,4,4,48,50,4,8,2,93,0
74,204,14,88,51,0,0,100,150,7,7,64,0,40,150,0,0,34,53,6,9,1,75,0
74,115,13,31,10,0,0,100,150,7,7,35,0,40,150,1,1,21,73,3,2,1,86,0
60,71,2,26,18,1,1,95,44,1,6,20,4,21,0,2,2,30,78,6,2,1,62,0
77,217,19,97,13,0,0,92,46,1,6,13,0,23,0,3,3,29,58,1,1,0,20,0
85,122,5,105,18,0,0,100,150,7,7,28,2,44,150,4,4,11,67,2,1,0,75,0
75,106,2,41,8,0,0,100,150,7,7,9,2,44,2,5,5,42,79,3,2,1,83,0
59,185,15,97,21,5,5,75,1,3,2,28,0,25,0,1,1,9,67,2,2,1,44,0
60,214,8,86,29,1,1,94,1,6,4,31,2,26,0,1,1,71,23,3,4,1,62,0
63,43,10,27,15,0,0,100,150,7,7,15,1,20,0,1,1,53,77,9,2,1,85,0
73,134,1,33,3,1,1,86,29,1,3,7,3,29,0,2,2,5,93,2,1,1,75,0
75,81,2,49,11,0,0,100,150,7,7,12,1,58,0,1,1,63,99,4,2,1,100,0
60,60,13,27,6,0,0,88,2,6,6,8,0,63,150,4,4,60,92,1,3,0,80,0
80,118,13,74,11,0,0,100,150,7,7,11,0,73,4,0,0,25,84,1,2,0,75,0
78,245,12,17,4,0,0,100,150,7,7,11,0,50,15,0,0,0,72,0,2,0,50,0
51,232,6,93,13,2,1,69,1,2,2,16,3,38,0,0,0,94,88,2,3,1,83,0
73,71,12,47,9,0,0,89,14,1,6,9,0,67,0,2,2,17,93,1,3,0,100,0
69,105,3,30,17,0,0,100,150,7,7,17,7,12,4,1,1,32,100,6,1,2,64,0
74,172,0,82,14,0,0,81,5,6,6,16,2,38,0,2,2,3,77,2,1,0,43,0
73,288,11,61,8,0,0,88,8,6,6,24,2,50,1,1,1,46,70,2,1,0,100,0
70,270,9,76,14,0,0,100,150,7,7,14,2,7,150,0,0,59,90,6,1,4,54,0
57,47,9,35,5,1,0,50,16,1,5,10,1,30,0,2,2,66,70,2,2,0,57,0
57,108,15,68,21,1,1,95,8,2,6,19,0,57,150,0,0,68,80,3,5,0,89,0
59,30,2,15,10,0,0,100,150,7,7,12,1,25,0,3,3,62,32,6,2,3,89,0
65,235,3,65,28,0,0,90,40,1,6,29,5,31,0,2,2,31,71,12,4,1,80,0
70,122,2,43,13,0,0,100,150,7,7,15,2,36,2,1,1,52,46,4,3,2,88,0
70,115,3,48,18,0,0,95,61,1,6,19,2,26,150,5,5,72,50,3,3,1,86,0
83,255,3,72,29,0,0,100,150,7,7,34,2,21,150,2,2,2,72,5,1,0,38,0
80,224,2,67,39,0,0,95,14,1,6,40,2,15,0,2,2,2,37,4,3,0,39,0
88,272,29,137,5,0,0,100,150,7,7,5,0,20,150,1,1,3,60,1,1,0,33,0
70,178,6,114,16,0,0,88,12,1,6,16,2,31,150,0,0,43,16,7,3,3,92,0
56,193,46,88,22,0,0,78,3,6,6,23,0,22,0,1,1,64,37,8,2,4,83,0
63,127,4,57,16,2,2,88,5,6,6,17,1,35,150,1,1,91,58,2,1,1,100,0
54,169,32,61,9,1,1,78,1,2,6,9,0,56,150,1,1,77,59,3,1,2,100,0
68,284,1,78,45,0,0,100,150,7,7,47,5,19,1,7,7,27,57,9,3,1,48,0
77,216,8,137,10,0,0,100,150,7,7,10,1,0,0,3,3,49,60,4,2,2,50,0
65,257,1,96,18,0,0,90,64,1,6,21,2,29,5,1,1,81,89,8,3,5,100,0
86,321,10,104,10,0,0,100,150,7,7,11,1,45,4,0,0,2,75,4,1,2,83,0
70,52,17,42,8,0,0,100,150,7,7,8,0,38,150,0,0,95,64,3,1,2,67,0
82,161,1,52,23,0,0,100,150,7,7,25,3,48,0,4,4,2,78,2,4,0,43,0
68,21,7,13,7,0,0,100,150,7,7,7,2,86,2,2,2,19,90,1,5,0,100,0
62,192,6,127,18,1,1,95,17,2,6,0,2,26,0,2,2,3,71,4,1,0,50,0
77,159,1,61,27,0,0,100,150,7,7,31,6,6,0,8,8,10,70,7,1,0,42,0
66,116,4,17,4,0,0,100,150,7,7,5,2,80,4,4,4,97,196,1,2,1,75,0
65,142,3,69,15,0,0,93,5,6,6,15,1,27,0,0,0,25,70,4,1,3,50,0
71,60,9,29,12,1,1,92,44,1,6,12,2,75,0,2,1,0,59,0,2,0,75,0
64,30,5,19,6,1,0,86,14,1,5,7,1,57,0,1,1,71,92,3,3,1,100,0
73,192,4,60,19,0,0,95,40,1,6,19,3,42,0,2,2,29,95,4,3,2,88,0
61,252,24,127,32,1,1,86,1,6,3,43,0,47,150,0,0,38,71,7,1,1,53,0
74,161,17,70,34,0,0,97,31,1,6,0,0,47,3,1,1,14,26,5,5,1,71,0
76,56,7,39,6,0,0,100,150,7,7,6,1,17,0,0,0,21,22,3,1,1,67,0
68,195,3,70,41,1,1,98,69,1,4,45,6,71,2,3,3,74,83,6,7,3,100,0
63,235,7,123,4,13,9,44,17,1,4,9,1,44,7,0,0,1,48,1,2,0,60,0
54,121,9,57,20,1,1,88,5,6,6,0,2,67,9,0,0,68,79,2,6,1,90,0
63,98,23,50,5,1,1,67,19,1,2,0,0,33,8,1,0,6,57,2,1,0,100,0
68,167,0,68,30,1,0,88,16,1,5,32,4,34,150,2,2,25,31,4,2,0,43,0
68,180,1,91,9,1,1,82,22,1,3,11,2,9,0,2,2,27,78,4,1,1,67,0
61,60,13,41,19,0,0,100,150,7,7,21,0,38,0,0,0,89,66,5,1,4,100,0
67,145,6,57,18,1,1,100,150,1,7,0,3,44,150,5,5,31,77,4,2,1,86,0
55,223,23,107,12,2,1,79,2,6,5,15,0,36,0,0,0,86,50,4,3,2,100,0
79,42,7,23,9,0,0,100,150,7,7,9,1,33,150,0,0,5,26,1,2,0,50,0
89,383,383,383,1,1,1,100,150,1,7,1,0,100,150,1,1,54,36,5,1,2,82,0
76,384,6,87,24,1,1,96,32,1,3,27,2,26,150,0,0,4,61,4,1,0,45,0
69,160,5,109,11,1,1,92,20,1,3,13,1,31,150,0,0,94,85,3,2,3,100,0
68,141,8,45,28,0,0,93,24,1,6,32,3,13,4,1,1,26,83,8,2,2,63,0
61,257,20,120,27,0,0,87,3,6,6,30,0,57,150,2,2,41,57,4,1,0,71,0
81,220,12,36,5,0,0,100,150,7,7,35,0,60,7,0,0,0,71,0,1,0,33,0
71,248,70,93,5,1,1,100,150,1,7,5,0,40,14,0,0,47,39,1,2,0,50,0
63,45,5,28,16,0,0,100,150,7,7,16,2,19,0,10,10,47,80,6,3,2,75,0
85,59,21,90,9,0,0,100,150,7,7,19,0,56,8,0,0,0,70,0,2,0,67,0
65,134,5,79,16,5,2,61,9,6,2,23,2,30,150,0,0,18,96,2,2,0,57,0
65,77,17,52,18,1,0,95,4,5,5,14,0,42,150,1,1,30,68,6,4,1,77,0
74,271,4,65,32,0,0,100,150,7,7,33,8,18,0,1,1,18,67,4,2,1,20,0
72,5,3,46,10,1,0,91,28,1,5,1,2,36,1,2,2,68,63,1,1,1,50,0
73,158,7,62,17,1,1,89,13,1,2,19,1,37,20,0,0,19,47,1,3,0,80,0
58,183,2,47,29,0,0,93,25,1,6,24,4,40,150,0,0,53,77,8,5,3,72,0
54,161,25,70,14,1,0,80,9,6,5,15,0,60,150,0,0,97,45,4,3,3,100,0
73,70,2,31,20,0,0,100,150,7,7,21,4,10,0,5,5,45,97,4,2,0,55,0
70,153,7,79,32,0,0,89,17,1,6,36,3,36,0,2,1,77,75,7,1,1,89,0
58,168,3,112,14,4,0,74,4,5,5,19,1,26,0,1,1,104,55,2,1,1,100,0
61,188,10,90,21,2,0,76,3,6,5,25,1,28,150,5,5,60,71,4,1,0,86,0
55,186,6,96,42,4,2,84,4,2,5,45,1,11,150,4,4,30,48,7,3,0,44,0
89,496,8,140,20,0,0,100,150,7,7,22,1,0,0,2,1,7,67,3,1,0,27,0
83,210,3,74,24,0,0,100,150,7,7,24,3,29,0,3,3,11,87,2,2,0,40,0
48,155,26,79,32,10,10,82,1,2,2,40,0,29,0,2,2,88,86,7,10,3,77,0
73,104,3,39,18,0,0,100,150,7,7,18,4,33,0,0,0,33,69,5,6,0,92,0
62,331,3,70,14,0,0,94,150,1,1,18,7,50,0,5,5,90,100,7,2,4,100,0
68,46,12,31,11,0,0,91,13,1,6,11,0,36,0,0,0,33,56,4,2,0,86,0
61,46,2,23,9,1,1,100,150,1,7,10,2,40,1,5,4,56,72,5,2,0,88,0
56,158,1,63,10,1,0,71,1,6,5,14,3,14,150,1,1,46,49,6,1,2,100,0
62,139,2,41,11,0,0,93,3,6,6,15,2,80,150,2,2,92,92,1,4,1,100,0
72,150,20,43,7,1,0,88,11,5,5,25,0,25,0,3,3,4,64,4,2,0,75,0
62,102,2,69,6,1,1,75,44,1,2,8,1,50,150,1,1,65,68,4,2,1,100,0
72,186,13,55,25,1,1,92,37,1,6,43,0,24,150,0,0,29,64,4,1,1,71,0
57,14,5,8,3,0,0,100,150,7,7,3,2,33,0,6,5,96,78,2,1,1,100,0
63,187,23,110,12,2,2,80,67,1,4,15,0,53,16,0,0,81,87,2,3,1,100,0
77,59,19,41,6,0,0,100,150,7,7,6,0,50,4,2,1,0,93,0,2,0,67,0
74,99,8,51,16,0,0,100,150,7,7,16,1,56,0,0,0,15,49,5,3,1,89,0
78,110,6,54,26,0,0,100,150,7,7,27,2,52,0,3,3,0,89,2,4,0,50,0
62,170,3,34,15,0,0,100,150,7,7,13,7,20,150,0,0,67,100,10,2,3,100,0
71,175,8,46,14,0,0,93,25,1,6,14,1,57,0,1,1,76,76,2,2,0,80,0
64,264,3,86,10,1,1,79,14,1,3,14,1,36,0,1,1,79,88,4,1,1,83,0
58,206,3,81,32,2,0,91,35,1,5,34,1,50,1,2,2,54,85,4,2,1,64,0
70,167,15,80,2,2,0,50,22,1,5,4,0,25,2,1,1,0,81,0,1,0,50,0
59,81,6,41,27,5,5,100,150,2,7,27,2,44,1,4,4,49,73,6,4,2,71,0
66,124,8,58,33,0,0,94,1,6,6,35,1,39,0,2,2,54,56,3,3,0,89,0
78,181,16,48,16,0,0,94,52,1,6,8,0,13,0,1,1,13,66,3,1,0,40,0
65,519,7,87,22,0,0,92,8,6,6,24,1,33,1,2,2,65,60,4,1,1,83,0
63,78,1,35,5,0,0,83,4,6,6,6,1,67,0,2,1,66,82,1,2,1,100,0
59,137,11,78,31,0,0,91,1,6,6,32,1,47,0,0,0,62,93,12,4,3,94,0
61,271,9,86,26,0,0,89,3,6,6,27,1,56,0,1,1,57,67,6,5,2,92,0
60,423,9,109,32,0,0,94,2,6,6,34,1,38,0,0,0,72,5,8,3,6,79,0
63,31,6,17,7,2,2,100,150,7,7,9,3,14,0,0,0,51,77,4,1,1,100,0
61,82,3,35,21,1,1,90,3,6,6,21,2,24,150,2,2,17,50,5,2,0,50,0
75,41,41,41,1,0,0,100,150,7,7,1,0,100,5,1,1,60,43,2,1,1,100,0
73,18,2,10,1,0,0,100,150,7,7,2,1,50,0,6,6,12,70,1,1,0,100,0
77,291,3,116,14,0,0,100,150,7,7,14,1,36,0,6,6,45,69,6,3,2,75,0
69,57,2,27,14,0,0,100,150,7,7,15,5,47,0,0,0,46,97,6,2,2,89,0
76,177,1,44,24,1,0,96,22,1,5,26,3,15,0,1,1,5,76,4,3,0,37,0
78,272,4,90,14,0,0,100,150,7,7,25,2,29,150,0,0,32,78,6,1,2,78,0
74,167,4,63,17,0,0,94,31,1,6,17,2,41,0,2,2,38,91,4,3,2,78,0
61,83,1,45,15,0,0,74,10,6,6,20,5,26,0,2,2,20,59,3,1,0,40,0
59,185,7,76,21,0,0,83,11,6,6,24,2,63,0,3,3,59,64,2,6,2,73,0
61,288,4,100,36,0,0,97,11,6,6,37,5,51,0,3,3,65,76,6,11,2,95,0
70,396,3,134,33,0,0,91,46,1,6,45,2,26,150,5,5,59,39,6,2,2,50,0
69,266,5,93,22,2,0,89,28,1,5,27,2,41,9,0,0,27,92,6,2,1,67,0
86,266,3,95,12,0,0,100,150,7,7,13,3,15,0,0,0,22,82,3,2,0,43,0
77,437,8,115,35,0,0,100,150,7,7,31,4,26,1,3,3,23,74,6,2,0,50,0
50,144,7,74,36,3,2,86,1,2,2,42,1,52,0,0,0,92,45,7,4,2,92,0
70,178,2,95,43,0,0,100,150,7,7,55,5,35,1,5,5,71,71,5,3,3,53,0
69,57,19,34,4,2,2,67,35,1,3,6,0,33,0,4,4,86,59,1,1,1,100,0
60,169,3,83,18,3,2,81,5,6,2,21,1,29,0,0,0,83,53,3,4,1,89,0
79,207,6,81,30,0,0,100,150,7,7,31,4,16,0,2,2,8,63,6,2,0,41,0
74,219,18,90,15,2,0,71,8,6,5,17,0,41,0,3,3,25,51,3,3,0,75,0
69,156,10,84,19,1,1,86,36,1,3,22,2,73,0,6,6,62,75,5,2,1,100,0
