interest_rate,unpaid_principal_bal,loan_term,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,insurance_percent,co-borrower_credit_score,insurance_type,m13
3.5,244000,180,88,1,37,635,12,0,0,1
3.928,91000,360,80,1,40,757,0,0,0,1
4.375,141000,360,30,1,41,703,0,0,0,1
4.625,134000,360,80,1,41,677,0,0,0,1
3.375,295000,180,48,2,24,743,0,726,0,1
4.25,122000,360,80,1,38,727,0,0,0,1
2.875,142000,180,80,2,41,786,0,781,0,1
3.875,256000,360,80,1,36,768,0,0,0,1
3.625,59000,180,72,2,41,665,0,660,0,1
4,145000,360,80,1,34,709,0,0,0,1
4,413000,360,70,2,31,753,0,718,0,1
4.5,117000,360,79,2,26,639,0,693,0,1
3.875,250000,360,65,1,37,717,0,0,0,1
5.25,124000,360,73,1,41,637,0,0,0,1
4.25,163000,360,80,2,22,809,0,808,0,1
5.25,110000,360,80,2,16,674,0,666,0,1
4.375,250000,360,68,2,43,676,0,648,0,1
5.375,420000,360,70,1,33,756,0,0,0,1
3.95,95000,360,49,1,32,760,0,0,0,1
4.125,242000,360,70,2,37,737,0,696,0,1
4.5,183000,180,67,2,22,806,0,804,0,1
4.625,396000,360,80,1,38,667,0,0,0,1
4.375,334000,360,95,2,44,700,30,703,0,1
4.25,98000,360,80,2,33,763,0,704,0,1
4.5,165000,180,60,2,22,806,0,804,0,1
5.125,25000,360,75,2,28,753,0,696,0,1
4.25,130000,360,39,1,34,650,0,0,0,1
4.25,90000,300,80,1,29,659,0,0,0,1
4.5,283000,360,63,2,44,777,0,726,0,1
3.75,160000,240,70,2,30,707,0,694,0,1
4,268000,360,90,2,41,730,25,777,1,1
4.125,145000,360,69,1,44,719,0,0,0,1
4.375,96000,360,76,1,40,787,0,0,0,1
4.625,156000,360,80,2,23,699,0,742,0,1
4.375,72000,240,73,2,33,798,0,738,0,1
4,386000,360,46,1,21,673,0,0,0,1
4.625,98000,360,70,1,49,643,0,0,0,1
4.5,29000,360,80,1,15,783,0,0,0,1
4.05,360000,360,80,1,32,790,0,0,0,1
5.25,47000,360,80,1,20,678,0,0,0,1
4.5,100000,360,79,2,31,716,0,728,0,1
3.75,120000,180,73,1,26,645,0,0,0,1
4,193000,360,54,2,45,640,0,687,0,1
4.5,210000,360,75,1,41,666,0,0,0,1
4.5,224000,360,92,1,35,739,30,0,0,1
4.25,133000,360,65,1,40,672,0,0,0,1
4.125,384000,360,68,2,29,663,0,674,0,1
4.375,180000,360,79,2,50,657,0,693,0,1
3.75,339000,180,40,2,47,697,0,694,0,1
3.875,70000,360,90,1,26,780,25,0,0,1
4.5,120000,360,65,1,27,658,0,0,0,1
4.5,136000,360,80,1,38,691,0,0,0,1
3.75,110000,180,62,1,31,660,0,0,0,1
3.99,123000,360,69,1,45,744,0,0,0,1
4.375,147000,360,75,2,34,680,0,694,0,1
3.875,216000,240,29,1,31,684,0,0,0,1
4.5,101000,360,68,1,18,691,0,0,0,1
4.25,184000,360,80,1,31,811,0,0,0,1
4.625,60000,360,44,1,35,681,0,0,0,1
4.125,182000,360,76,1,45,813,0,0,0,1
4.25,144000,360,94,1,45,804,30,0,0,1
4,243000,360,59,2,42,637,0,644,0,1
4.125,191000,240,77,1,39,734,0,0,0,1
3.875,120000,360,65,1,22,789,0,0,0,1
3.125,124000,120,39,2,19,801,0,801,0,1
3,164000,180,80,2,45,729,0,732,0,1
3.75,342000,360,95,2,43,728,30,722,0,1
4.5,246000,360,80,1,45,621,0,0,0,1
4.25,610000,360,89,1,38,705,25,0,0,1
4,122000,360,90,1,19,770,25,0,0,1
3.875,272000,240,76,2,28,776,0,777,0,1
4,316000,360,50,2,44,686,0,727,0,1
3.25,120000,180,75,1,27,749,0,0,0,1
4.375,380000,360,90,1,40,779,25,0,0,1
3.875,252000,360,80,1,43,794,0,0,0,1
4.5,155000,360,85,1,48,660,12,0,0,1
4,99000,360,90,1,32,663,25,0,0,1
4.375,60000,360,87,1,35,743,12,0,0,1
5.75,60000,360,80,1,37,645,0,0,0,1
3.99,304000,360,80,2,25,793,0,786,0,1
4.125,235000,360,59,1,50,785,0,0,0,1
4.375,68000,360,52,2,42,664,0,657,0,1
4,400000,360,61,1,35,717,0,0,0,1
3.74,200000,360,31,1,46,711,0,0,0,1
4.5,375000,360,75,1,41,681,0,0,0,1
4,328000,360,80,2,35,754,0,756,0,1
4.125,126000,360,90,2,34,721,25,774,0,1
4.25,325000,360,73,2,50,680,0,768,0,1
4.875,168000,360,80,1,31,646,0,0,0,1
4.5,162000,360,95,1,29,755,30,0,0,1
5.5,98000,360,80,1,40,663,0,0,0,1
4.375,282000,360,95,1,41,688,30,0,0,1
3.375,240000,180,80,2,36,787,0,795,0,1
3.75,132000,360,42,1,20,787,0,0,0,1
4.875,225000,360,75,2,43,716,0,726,0,1
5.375,120000,360,75,1,21,655,0,0,0,1
3.875,153000,360,84,2,15,769,12,775,0,1
4.375,115000,360,64,2,43,727,0,702,0,1
4.125,356000,312,56,1,44,728,0,0,0,1
3.25,120000,180,48,1,22,768,0,0,0,1
3.875,232000,360,80,1,27,799,0,0,0,1
4.375,417000,360,77,2,40,643,0,715,0,1
3.5,150000,120,38,2,50,700,0,716,0,1
4.875,145000,360,68,1,41,689,0,0,0,1
4.5,70000,360,62,2,26,810,0,810,0,1
3.5,175000,144,72,2,34,708,0,777,0,1
4.375,86000,240,70,1,39,655,0,0,0,1
3.75,80000,180,38,1,26,657,0,0,0,1
4.25,67000,360,55,1,44,821,0,0,0,1
3.709,370000,360,67,1,33,770,0,0,0,1
4.125,35000,360,49,1,45,669,0,0,0,1
4,128000,120,79,1,37,764,0,0,0,1
3.625,93000,360,75,1,33,804,0,0,0,1
4.125,65000,360,80,1,47,650,0,0,0,1
4,253000,360,61,2,34,796,0,761,0,1
4.25,87000,360,72,1,37,721,0,0,0,1
4.5,164000,360,80,1,16,670,0,0,0,1
4.625,154000,360,72,1,34,658,0,0,0,1
3.875,395000,360,84,2,45,741,12,806,0,1
4.25,252000,360,92,1,31,753,25,0,0,1
4.875,98000,360,75,1,38,626,0,0,0,1
4.75,94000,360,90,1,39,621,25,0,0,1
4.3,39000,360,61,1,25,808,0,0,0,1
4.5,413000,360,75,2,35,788,0,749,0,1
3.75,90000,360,74,1,46,745,0,0,0,1
4,238000,360,97,2,43,795,35,802,0,1
4.5,105000,360,70,1,45,629,0,0,0,1
4.25,303000,360,74,1,45,633,0,0,0,1
4.625,212000,360,80,1,44,698,0,0,0,1
4.5,115000,360,75,1,48,788,0,0,0,1
4.99,130000,300,80,2,37,765,0,749,0,1
4.375,159000,360,80,1,36,684,0,0,0,1
4.375,148000,156,70,2,41,654,0,637,0,1
4,68000,180,80,1,45,624,0,0,0,1
3.99,204000,360,92,1,41,753,30,0,0,1
4.375,68000,180,75,2,38,780,0,772,0,1
3.25,80000,120,54,1,42,765,0,0,0,1
4.375,281000,360,80,1,38,666,0,0,0,1
4.25,194000,360,78,1,37,681,0,0,0,1
4,335000,360,95,1,27,734,30,0,0,1
4,405000,360,58,2,45,673,0,765,0,1
5,216000,360,90,1,27,682,25,0,0,1
3,172000,180,52,1,41,697,0,0,0,1
4.5,176000,360,75,1,25,794,0,0,0,1
4.25,222000,360,80,1,45,705,0,0,0,1
3.5,115000,180,36,2,34,695,0,667,0,1
4.5,108000,360,80,1,39,750,0,0,0,1
4.375,340000,360,78,1,34,804,0,0,0,1
4.125,154000,360,80,1,38,672,0,0,0,1
3.625,112000,360,80,1,40,735,0,0,0,1
4.5,470000,360,75,2,42,765,0,767,0,1
3.875,411000,360,60,2,40,706,0,714,0,1
5.375,133000,360,60,1,31,665,0,0,0,1
4.625,167000,360,78,1,36,668,0,0,0,1
4.75,72000,360,80,2,40,698,0,633,0,1
4.125,95000,360,66,1,39,707,0,0,0,1
4.375,72000,360,75,1,41,719,0,0,0,1
4.5,150000,360,75,1,32,685,0,0,0,1
5.5,128000,360,80,1,37,690,0,0,0,1
4.375,276000,360,93,1,39,698,30,0,0,1
3.75,221000,180,82,2,37,767,6,698,0,1
4.375,347000,360,75,1,45,669,0,0,0,1
4.125,126000,360,76,2,29,766,0,776,0,1
3.75,86000,360,53,1,43,815,0,0,0,1
3.75,268000,360,80,2,36,809,0,765,0,1
3.5,160000,180,25,1,43,796,0,0,0,1
4.375,156000,360,80,2,34,705,0,798,0,1
4.75,194000,360,80,1,39,670,0,0,0,1
4.375,240000,360,80,2,44,709,0,707,0,1
3.25,90000,180,64,2,33,670,0,659,0,1
4.125,99000,360,90,1,38,772,25,0,0,1
4.375,72000,360,56,1,37,638,0,0,0,1
4.625,138000,360,80,1,24,632,0,0,0,1
4.375,160000,360,70,2,36,773,0,744,0,1
4,237000,360,64,2,41,702,0,728,0,1
4.625,238000,360,73,1,50,649,0,0,0,1
3.875,310000,360,44,1,37,799,0,0,0,1
4.5,115000,360,72,1,42,649,0,0,0,1
5,138000,360,80,2,38,653,0,683,0,1
3.875,327000,360,72,2,31,803,0,800,0,1
3.875,240000,360,80,2,43,778,0,767,0,1
4.225,176000,360,86,2,43,672,25,671,0,1
3.5,293000,240,52,2,27,815,0,809,0,1
4.5,168000,360,69,2,38,684,0,694,0,1
2.875,93000,120,44,2,42,742,0,704,0,1
4.625,150000,240,73,2,44,678,0,675,0,1
4.5,88000,360,70,1,43,644,0,0,0,1
4.25,260000,360,80,1,43,749,0,0,0,1
4.25,81000,360,56,2,33,720,0,670,0,1
4.5,87000,360,80,1,44,648,0,0,0,1
3.99,72000,240,77,1,45,757,0,0,0,1
3.875,136000,360,58,1,28,753,0,0,0,1
3.875,204000,360,73,1,44,756,0,0,0,1
4,410000,360,75,1,36,784,0,0,0,1
3.5,129000,120,26,1,48,693,0,0,0,1
4.5,103000,360,90,1,42,740,25,0,0,1
4.25,110000,360,90,2,37,788,25,792,0,1
3.95,114000,360,95,2,20,745,30,744,0,1
3.875,188000,360,79,2,22,792,0,792,0,1
4.25,334000,360,75,1,23,682,0,0,0,1
3,122000,180,68,1,24,796,0,0,0,1
4.375,88000,360,80,1,29,780,0,0,0,1
4.5,238000,360,70,1,39,788,0,0,0,1
4.5,139000,360,61,1,23,716,0,0,0,1
4.375,296000,360,80,2,35,694,0,687,0,1
3.25,159000,180,59,1,38,649,0,0,0,1
3.625,235000,360,90,1,45,715,25,0,0,1
4.75,280000,360,80,1,42,660,0,0,0,1
4.375,127000,360,75,2,36,671,0,673,0,1
3.625,139000,360,58,2,41,796,0,792,0,1
4,260000,360,70,1,39,787,0,0,0,1
4,452000,360,72,1,43,789,0,0,0,1
3.99,379000,360,80,2,49,790,0,720,0,1
4,355000,180,70,1,44,656,0,0,0,1
3.99,284000,360,64,1,46,799,0,0,0,1
3.875,160000,240,80,2,40,734,0,744,0,1
5,200000,360,75,1,45,650,0,0,0,1
3.875,143000,180,80,1,43,699,0,0,0,1
4.5,159000,180,67,2,22,806,0,804,0,1
4.5,162000,360,88,1,39,781,25,0,1,1
3.625,136000,180,85,1,44,749,6,0,0,1
4,394000,360,60,2,44,702,0,765,0,1
4,195000,360,80,1,42,697,0,0,0,1
3.375,262000,180,70,1,37,691,0,0,0,1
4.375,122000,360,90,1,37,720,25,0,0,1
4.75,117000,360,80,2,38,695,0,711,0,1
4.375,172000,360,80,2,25,748,0,807,0,1
5.5,115000,360,80,1,41,649,0,0,0,1
4.625,140000,360,80,2,30,695,0,689,0,1
4.75,417000,360,95,2,43,740,30,750,0,1
4.25,212000,360,80,1,37,746,0,0,0,1
4,306000,360,60,1,17,778,0,0,0,1
5.125,144000,360,80,2,40,652,0,742,0,1
4.125,125000,180,42,2,17,767,0,754,0,1
4.75,93000,360,80,1,38,660,0,0,0,1
3.25,391000,180,27,2,29,788,0,753,0,1
4.75,174000,360,80,1,41,673,0,0,0,1
4.125,75000,360,32,1,35,645,0,0,0,1
4.5,221000,360,70,1,41,634,0,0,0,1
4.5,113000,360,38,2,32,707,0,725,0,1
5.875,59000,360,75,2,29,662,0,789,0,1
3.5,187000,360,75,2,37,805,0,799,0,1
4.375,130000,360,80,1,38,701,0,0,0,1
3.875,136000,360,78,2,30,732,0,742,0,1
4.25,231000,360,84,1,27,728,12,0,0,1
4.28,152000,360,66,1,39,713,0,0,0,1
5.5,41000,360,75,1,40,643,0,0,0,1
4.58,86000,360,64,1,12,774,0,0,0,1
4.375,110000,360,79,1,42,769,0,0,0,1
4.9,48000,360,71,1,30,773,0,0,0,1
4.49,263000,360,72,1,22,685,0,0,0,1
4,103000,360,87,1,45,662,12,0,0,1
4.5,62000,180,80,1,40,773,0,0,0,1
5,77000,360,80,1,40,652,0,0,0,1
4.1,135000,360,84,1,45,744,12,0,0,1
4.625,71000,180,76,1,30,651,0,0,0,1
5,79000,360,75,1,32,700,0,0,0,1
4,155000,360,59,1,41,709,0,0,0,1
4.5,590000,360,67,1,19,660,0,0,0,1
4.49,168000,240,80,1,41,681,0,0,0,1
4,105000,360,36,1,45,635,0,0,0,1
4.375,128000,360,80,1,41,739,0,0,0,1
4.75,120000,360,75,1,16,721,0,0,0,1
3.856,64000,360,90,1,39,809,25,0,0,1
3.25,383000,180,61,1,40,775,0,0,0,1
4.375,169000,360,95,1,44,771,30,0,0,1
3.5,277000,180,47,2,50,700,0,663,0,1
4,235000,360,73,1,36,734,0,0,0,1
4.375,386000,360,88,2,31,736,25,752,0,1
4.625,69000,300,80,1,35,694,0,0,0,1
4.125,288000,360,73,2,34,705,0,767,0,1
3.875,172000,360,80,1,39,700,0,0,0,1
4.25,213000,360,70,1,43,655,0,0,0,1
3.25,159000,120,48,1,37,712,0,0,0,1
5,277000,360,79,2,37,674,0,672,0,1
5.125,395000,360,80,2,43,710,0,674,0,1
4.5,80000,180,64,2,32,748,0,716,0,1
4.375,167000,360,76,2,40,708,0,745,0,1
4.5,138000,360,70,1,42,714,0,0,0,1
3.75,99000,180,77,1,44,744,0,0,0,1
4.25,50000,180,56,1,40,706,0,0,0,1
4.5,119000,360,70,1,39,651,0,0,0,1
4.125,186000,360,95,1,36,735,30,0,0,1
4.25,340000,360,53,2,19,636,0,665,0,1
4.125,164000,360,74,1,24,664,0,0,0,1
4.375,69000,360,85,1,24,784,12,0,0,1
3.25,360000,180,73,1,32,798,0,0,0,1
4,111000,360,77,2,30,656,0,763,0,1
4.5,38000,180,75,1,46,660,0,0,0,1
4.75,108000,360,66,2,10,643,0,672,0,1
4.75,55000,360,44,1,36,639,0,0,0,1
4.875,47000,360,75,1,34,688,0,0,0,1
4.25,405000,360,60,1,38,649,0,0,0,1
3.875,183000,180,71,2,24,696,0,684,0,1
4.125,174000,360,80,1,42,705,0,0,0,1
3.25,105000,180,64,2,35,661,0,633,0,1
4.5,141000,360,80,1,24,721,0,0,0,1
4.5,137000,360,67,1,32,635,0,0,0,1
4.75,77000,360,80,1,14,627,0,0,0,1
4.375,48000,360,80,1,35,661,0,0,0,1
4.5,333000,360,75,2,45,759,0,776,0,1
4.99,53000,360,80,1,34,625,0,0,0,1
4.625,133000,240,64,1,32,683,0,0,0,1
3.75,78000,180,74,1,17,644,0,0,0,1
3,82000,180,69,2,31,635,0,656,0,1
4,143000,360,97,1,38,723,35,0,0,1
4.875,209000,360,95,2,40,791,30,796,0,1
4.54,244000,360,80,2,34,690,0,635,0,1
4.25,103000,360,63,1,20,802,0,0,0,1
4.125,262000,360,70,2,32,788,0,795,0,1
4.625,122000,360,70,1,42,749,0,0,0,1
4.5,185000,360,95,1,36,802,30,0,0,1
3.25,78000,120,23,1,45,787,0,0,0,1
4.375,153000,360,71,1,42,764,0,0,0,1
4.625,119000,360,53,1,41,654,0,0,0,1
4.25,173000,360,74,1,44,787,0,0,0,1
4.25,86000,360,80,2,14,710,0,693,0,1
4,245000,360,80,1,45,757,0,0,0,1
4.125,267000,240,85,1,28,721,6,0,0,1
4.25,164000,360,95,2,43,748,30,802,0,1
4.5,271000,360,80,1,38,685,0,0,0,1
3.625,62000,180,53,1,13,647,0,0,0,1
3.875,311000,240,77,2,35,777,0,813,0,1
5.125,133000,360,75,1,30,656,0,0,0,1
3.875,242000,240,54,1,45,790,0,0,0,1
5.25,55000,360,75,1,49,685,0,0,0,1
4,108000,240,64,1,21,729,0,0,0,1
3.375,145000,120,35,2,29,678,0,728,0,1
5,44000,360,70,1,33,736,0,0,0,1
4.5,65000,360,30,1,49,641,0,0,0,1
3.375,184000,180,80,1,27,712,0,0,0,1
3.25,183000,180,85,2,24,713,6,793,0,1
4.375,228000,360,70,1,46,624,0,0,0,1
3.75,150000,180,96,2,19,791,35,782,0,1
3.5,252000,180,79,2,44,699,0,695,0,1
4.75,348000,360,80,2,42,705,0,786,0,1
4.625,218000,360,90,1,45,669,25,0,0,1
4.625,206000,360,80,1,49,733,0,0,0,1
4,374000,360,90,1,41,778,25,0,0,1
4.375,114000,360,80,1,32,783,0,0,0,1
4.125,210000,360,43,2,48,667,0,683,0,1
4,240000,360,60,1,45,675,0,0,0,1
4.625,225000,360,90,1,43,700,25,0,1,1
3.5,150000,180,28,1,45,793,0,0,0,1
3.5,175000,180,82,2,16,741,6,764,0,1
4.125,65000,360,77,1,43,718,0,0,0,1
4,120000,360,45,1,38,685,0,0,0,1
4.5,354000,360,75,2,29,641,0,761,0,1
4.25,250000,360,79,1,42,682,0,0,0,1
5.375,72000,360,80,1,43,720,0,0,0,1
4.125,160000,360,80,1,44,744,0,0,0,1
4.625,138000,360,80,1,39,667,0,0,0,1
4,380000,360,85,2,44,793,12,793,0,1
4.375,136000,360,44,1,43,642,0,0,0,1
3.875,104000,360,80,1,48,741,0,0,0,1
3.77,220000,360,60,1,25,784,0,0,0,1
4.125,125000,360,50,2,48,696,0,696,0,1
4.125,128000,360,80,1,45,756,0,0,0,1
4.625,413000,360,75,2,43,659,0,647,0,1
4.5,98000,360,80,1,35,673,0,0,0,1
4.75,299000,360,78,1,41,680,0,0,0,1
4.5,368000,360,80,1,43,815,0,0,0,1
3.25,139000,180,69,1,32,722,0,0,0,1
4.125,192000,360,88,1,44,711,25,0,0,1
3.504,195000,240,68,1,33,724,0,0,0,1
4.625,76000,360,80,2,25,678,0,633,0,1
4.75,109000,360,69,1,27,668,0,0,0,1
3.875,152000,360,60,2,39,747,0,721,0,1
4.25,140000,360,58,2,36,747,0,712,0,1
4.125,277000,360,76,2,44,697,0,740,0,1
3.958,116000,360,28,1,27,661,0,0,0,1
3.875,391000,360,75,1,44,771,0,0,0,1
4.75,250000,360,52,1,37,620,0,0,0,1
4.125,243000,360,45,2,42,755,0,714,0,1
3.99,252000,360,56,2,27,764,0,786,0,1
4.875,156000,360,75,1,45,696,0,0,0,1
3.875,359000,360,80,1,37,785,0,0,0,1
4,248000,360,80,1,46,724,0,0,0,1
4.375,101000,360,90,1,44,765,25,0,1,1
2.875,135000,180,67,2,32,768,0,772,0,1
3.625,14000,120,80,1,41,676,0,0,0,1
4.125,118000,360,50,1,44,721,0,0,0,1
4.75,86000,360,95,1,33,689,30,0,0,1
4.06,351000,240,74,2,27,794,0,792,0,1
4.25,520000,360,77,2,31,779,0,779,0,1
4.375,150000,360,57,1,43,695,0,0,0,1
4,228000,360,95,1,32,784,30,0,0,1
3.375,85000,180,55,2,30,685,0,795,0,1
4.125,417000,360,78,1,25,795,0,0,0,1
4.375,135000,360,80,2,33,669,0,664,0,1
3.875,168000,180,80,1,44,722,0,0,0,1
3.875,92000,360,80,2,33,746,0,723,0,1
4.375,102000,360,80,1,39,681,0,0,0,1
4,183000,360,59,1,30,727,0,0,0,1
3.375,124000,180,67,1,22,681,0,0,0,1
4.875,250000,360,65,2,37,636,0,628,0,1
4.125,271000,360,74,1,38,711,0,0,0,1
3.125,130000,180,73,1,30,744,0,0,0,1
3.75,38000,180,63,1,24,673,0,0,0,1
4.375,213000,360,77,1,34,757,0,0,0,1
3.99,405000,360,21,2,30,816,0,812,0,1
3.875,187000,360,76,2,20,801,0,796,0,1
4.625,117000,360,70,1,40,672,0,0,0,1
4.25,46000,360,80,1,20,651,0,0,0,1
4.5,64000,360,72,1,39,709,0,0,0,1
3.75,102000,240,56,2,12,714,0,799,0,1
4.375,156000,360,72,2,39,727,0,790,0,1
4,128000,360,80,1,45,672,0,0,0,1
4.25,90000,360,78,1,44,762,0,0,0,1
4.5,310000,360,58,2,43,631,0,716,0,1
3.5,387000,180,80,1,40,703,0,0,0,1
4.25,52000,180,65,1,36,700,0,0,0,1
5.125,42000,360,75,1,32,699,0,0,0,1
3.875,322000,360,85,2,29,771,12,762,0,1
3.99,150000,360,50,1,42,625,0,0,0,1
4.5,60000,360,64,1,32,695,0,0,0,1
4.49,204000,360,80,1,14,681,0,0,0,1
4.125,213000,360,80,2,37,748,0,802,0,1
3.75,30000,360,75,1,42,748,0,0,0,1
3.875,39000,360,95,1,31,657,30,0,0,1
4.25,157000,360,66,1,49,730,0,0,0,1
4.5,125000,360,75,1,38,779,0,0,0,1
3.99,279000,360,80,1,26,749,0,0,0,1
4.75,153000,360,95,1,42,782,30,0,0,1
3.25,208000,180,60,1,43,779,0,0,0,1
4.125,305000,360,80,1,28,711,0,0,0,1
4.625,64000,360,50,1,30,641,0,0,0,1
3.5,230000,180,60,2,38,674,0,659,0,1
4.625,75000,360,69,1,40,675,0,0,0,1
4.625,150000,276,77,1,38,740,0,0,0,1
3.875,120000,360,80,1,33,797,0,0,0,1
4.125,95000,120,53,2,36,668,0,684,0,1
4.25,380000,360,71,2,38,782,0,810,0,1
4.375,272000,360,94,2,44,704,30,719,0,1
4.5,100000,360,76,1,41,729,0,0,0,1
4.5,182000,360,95,1,38,669,30,0,0,1
4.625,411000,360,90,2,40,765,25,716,0,1
4.125,417000,360,60,1,43,715,0,0,0,1
5,95000,360,80,1,42,630,0,0,0,1
4.125,74000,360,62,1,14,627,0,0,0,1
4.625,102000,360,80,1,44,669,0,0,0,1
4.25,89000,360,67,1,25,736,0,0,0,1
4.5,231000,360,60,2,14,816,0,817,0,1
3.875,24000,180,43,1,32,626,0,0,0,1
3.875,300000,240,69,1,43,720,0,0,0,1
3.875,175000,240,75,2,37,722,0,752,0,1
5,108000,360,80,2,27,764,0,749,0,1
3.99,182000,360,76,1,20,808,0,0,0,1
4.875,241000,360,74,2,40,677,0,640,0,1
4.375,93000,360,59,1,29,620,0,0,0,1
3.5,64000,360,80,1,35,724,0,0,0,1
