GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
325,112,4,3.5,3.5,89.2,0,0
327,114,3,3,3,90.2,0,0
316,107,2,3.5,3.5,86.4,1,0
318,109,3,3.5,4,92.2,1,0
328,115,4,4.5,4,91.6,1,1
332,118,5,5,5,96.4,1,1
336,112,5,5,5,97.6,1,1
321,111,5,5,5,94.5,1,1
314,108,4,4.5,4,90.4,1,1
314,106,3,3,5,89,0,1
329,114,2,2,4,85.6,1,1
327,112,3,3,3,87.2,1,1
301,99,2,3,2,82.2,0,0
296,95,2,3,2,75.4,1,0
294,93,1,1.5,2,73.6,0,0
312,105,3,2,3,80.2,1,0
340,120,4,5,5,95,1,1
320,110,5,5,4.5,92.2,1,1
322,115,5,4,4.5,93.6,1,1
340,115,5,4.5,4.5,94.5,1,1
319,103,4,4.5,3.5,86.6,0,1
315,106,3,4.5,3.5,84.2,0,1
317,107,2,3.5,3,82.8,0,0
314,108,3,4.5,3.5,81.4,0,0
316,109,4,4.5,3.5,87.6,1,1
318,106,2,4,4,79.2,1,0
299,97,3,5,3.5,76.6,0,0
298,98,2,4,3,80.3,0,0
301,97,2,3,3,78.8,1,0
303,99,3,2,2.5,76.6,0,0
304,100,4,1.5,2.5,78.4,0,0
306,100,2,3,3,80,0,0
331,120,3,4,4,89.6,1,1
332,119,4,5,4.5,92.4,1,1
323,113,3,4,4,88.8,1,1
322,107,3,3.5,3.5,84.6,1,1
312,105,2,2.5,3,81.2,0,0
314,106,2,4,3.5,82.5,0,0
317,104,2,4.5,4,84.7,0,0
326,112,3,3.5,3,90.5,1,1
316,110,3,4,4.5,87.8,1,0
329,111,4,4.5,4.5,91.8,1,1
338,117,4,3.5,4.5,94.6,1,1
331,116,5,5,5,93.8,1,1
304,103,5,5,4,86.4,0,0
305,108,5,3,3,84.8,0,0
321,109,4,4,4,86.8,1,0
301,107,3,3.5,3.5,83.4,1,0
320,110,2,4,3.5,85.6,0,1
311,105,3,3.5,3,84.5,1,0
310,106,4,4.5,4.5,90.4,1,0
299,102,3,4,3.5,86.2,0,0
290,104,4,2,2.5,74.6,0,0
296,99,2,3,3.5,72.8,0,0
327,104,5,3,3.5,88.4,1,1
335,117,5,5,5,95.6,1,1
334,119,5,4.5,4.5,94.8,1,1
310,106,4,1.5,2.5,83.6,0,0
308,108,3,3.5,3.5,82.2,0,0
301,106,4,2.5,3,84.7,0,0
300,100,3,2,3,86.6,1,0
323,113,3,4,3,93.2,1,1
319,112,3,2.5,2,87.1,1,1
326,112,3,3.5,3,91,1,1
333,118,5,5,5,93.5,1,1
339,114,5,4,4.5,97.6,1,1
303,105,5,5,4.5,86.5,0,1
309,105,5,3.5,3.5,85.6,0,1
323,112,5,4,4.5,87.8,0,1
333,113,5,4,4,92.8,1,1
314,109,4,3.5,4,87.7,1,1
312,103,3,5,4,84.5,0,1
316,100,2,1.5,3,81.6,1,1
326,116,2,4.5,3,90.8,1,1
318,109,1,3.5,3.5,91.2,0,1
329,110,2,4,3,91.5,1,1
332,118,2,4.5,3.5,93.6,1,1
331,115,5,4,3.5,94.4,1,1
340,120,4,4.5,4,99.2,1,1
325,112,2,3,3.5,89.6,1,1
320,113,2,2,2.5,86.4,1,1
315,105,3,2,2.5,84.8,0,1
326,114,3,3,3,91.1,1,1
339,116,4,4,3.5,98,1,1
311,106,2,3.5,3,82.6,1,1
334,114,4,4,4,94.3,1,1
332,116,5,5,5,92.8,1,1
321,112,5,5,5,90.6,1,1
324,105,3,3,4,87.5,0,1
326,108,3,3,3.5,88.9,0,1
312,109,3,3,3,86.9,0,1
315,105,3,2,2.5,83.4,0,0
309,104,2,2,2.5,82.6,0,0
306,106,2,2,2.5,81.4,0,0
297,100,1,1.5,2,79,0,0
315,103,1,1.5,2,78.6,0,0
298,99,1,1.5,3,74.6,0,0
318,109,3,3,3,85,0,0
317,105,3,3.5,3,85.6,0,0
329,111,4,4.5,4,90.1,1,1
322,110,5,4.5,4,89.7,0,1
302,102,3,3.5,5,83.3,0,0
313,102,3,2,3,82.7,0,0
293,97,2,2,4,78,1,0
311,99,2,2.5,3,79.8,0,0
312,101,2,2.5,3.5,80.4,1,0
334,117,5,4,4.5,90.7,1,1
322,110,4,4,5,91.3,1,1
323,113,4,4,4.5,92.3,1,1
321,111,4,4,4,89.7,1,1
320,111,4,4.5,3.5,88.7,1,1
329,119,4,4.5,4.5,91.6,1,1
319,110,3,3.5,3.5,90.4,0,1
309,108,3,2.5,3,81.2,0,1
307,102,3,3,3,82.7,0,1
300,104,3,3.5,3,81.6,0,1
305,107,2,2.5,2.5,84.2,0,1
299,100,2,3,3.5,78.8,0,0
314,110,3,4,4,88,0,1
316,106,2,2.5,4,83.2,0,1
327,113,4,4.5,4.5,91.1,1,1
317,107,3,3.5,3,86.8,1,1
335,118,5,4.5,3.5,94.4,1,1
331,115,5,4.5,3.5,93.6,1,1
324,112,5,5,5,90.8,1,1
324,111,5,4.5,4,91.6,1,1
323,110,5,4,5,89.8,1,1
322,114,5,4.5,4,89.4,1,1
336,118,5,4.5,5,95.3,1,1
316,109,3,3.5,3,87.6,0,1
307,107,2,3,3.5,85.2,1,1
306,105,2,3,2.5,82.6,0,1
310,106,2,3.5,2.5,83.3,0,1
311,104,3,4.5,4.5,84.3,0,0
313,107,3,4,4.5,86.9,0,1
317,103,3,2.5,3,85.4,1,1
315,110,2,3.5,3,84.6,1,1
340,120,5,4.5,4.5,99.1,1,1
334,120,5,4,5,98.7,1,1
298,105,3,3.5,4,85.4,0,0
295,99,2,2.5,3,76.5,0,0
315,99,2,3.5,3,78.9,0,0
310,102,3,3.5,4,80.2,1,0
305,106,2,3,3,81.6,0,0
301,104,3,3.5,4,81.2,1,0
325,108,4,4.5,4,90.6,1,1
328,110,4,5,4,91.4,1,1
338,120,4,5,5,96.6,1,1
333,119,5,5,4.5,97.8,1,1
331,117,4,4.5,5,94.2,1,1
330,116,5,5,4.5,93.6,1,1
322,112,4,4.5,4.5,92.6,1,1
321,109,4,4,4,91.3,1,1
324,110,4,3,3.5,89.7,1,1
312,104,3,3.5,3.5,84.2,0,1
313,103,3,4,4,87.5,0,1
316,110,3,3.5,4,85.6,0,1
324,113,4,4.5,4,87.9,0,1
308,109,2,3,4,84.5,0,1
305,105,2,3,2,82.3,0,0
296,99,2,2.5,2.5,80.3,0,0
306,110,2,3.5,4,84.5,0,0
312,110,2,3.5,3,85.3,0,0
318,112,3,4,3.5,86.7,0,1
324,111,4,3,3,90.1,1,1
313,104,3,4,4.5,86.5,0,1
319,106,3,3.5,2.5,83.3,1,1
312,107,2,2.5,3.5,82.7,0,0
304,100,2,2.5,3.5,80.7,0,0
330,113,5,5,4,93.1,1,1
326,111,5,4.5,4,92.3,1,1
325,112,4,4,4.5,91.7,1,1
329,114,5,4.5,5,91.9,1,1
310,104,3,2,3.5,83.7,0,0
299,100,1,1.5,2,78.9,0,0
296,101,1,2.5,3,76.8,0,0
317,103,2,2.5,2,81.5,0,0
324,115,3,3.5,3,87.6,1,0
325,114,3,3.5,3,90.4,1,1
314,107,2,2.5,4,85.6,0,0
328,110,4,4,2.5,90.2,1,1
316,105,3,3,3.5,87.3,0,1
311,104,2,2.5,3.5,84.8,0,1
324,110,3,3.5,4,88.7,1,1
321,111,3,3.5,4,88.3,1,1
320,104,3,3,2.5,85.7,1,1
316,99,2,2.5,3,90,0,0
318,100,2,2.5,3.5,85.4,1,1
335,115,4,4.5,4.5,96.8,1,1
321,114,4,4,5,91.2,0,1
307,110,4,4,4.5,83.7,0,1
309,99,3,4,4,85.6,0,1
324,100,3,4,5,86.4,1,1
326,102,4,5,5,87.6,1,1
331,119,4,5,4.5,93.4,1,1
327,108,5,5,3.5,91.3,1,1
312,104,3,3.5,4,80.9,0,1
308,103,2,2.5,4,83.6,1,0
324,111,3,2.5,1.5,87.9,1,0
325,110,2,3,2.5,87.6,1,1
313,102,3,2.5,2.5,86.8,0,1
312,105,2,2,2.5,84.5,0,1
314,107,3,3,3.5,81.7,1,1
327,113,4,4.5,5,91.4,0,1
308,108,4,4.5,5,83.4,0,1
306,105,2,2.5,3,82.2,1,1
299,96,2,1.5,2,78.6,0,0
294,95,1,1.5,1.5,76.4,0,0
312,99,1,1,1.5,80.1,1,0
315,100,1,2,2.5,79.5,0,0
322,110,3,3.5,3,89.6,1,1
329,113,5,5,4.5,94.5,1,1
320,101,2,2.5,3,86.2,0,0
308,103,2,3,3.5,84.9,0,0
304,102,2,3,4,87.3,0,0
311,102,3,4.5,4,86.4,1,0
317,110,3,4,4.5,91.1,1,1
312,106,3,4,3.5,87.9,1,1
321,111,3,2.5,3,89,1,1
340,112,4,5,4.5,96.6,1,1
331,116,5,4,4,92.6,1,1
336,118,5,4.5,4,91.9,1,1
324,114,5,5,4.5,90.8,1,1
314,104,4,5,5,90.2,0,1
313,109,3,4,3.5,90,0,1
307,105,2,2.5,3,76.5,0,0
300,102,2,1.5,2,78.7,0,0
302,99,2,1,2,79.7,0,0
312,98,1,3.5,3,81.8,1,0
316,101,2,2.5,2,83.2,1,0
317,100,2,3,2.5,85.7,0,0
310,107,3,3.5,3.5,86.7,0,1
320,120,3,4,4.5,91.1,0,1
330,114,3,4.5,4.5,92.4,1,1
305,112,3,3,3.5,86.5,0,1
309,106,2,2.5,2.5,80,0,0
319,108,2,2.5,3,87.6,0,0
322,105,2,3,3,84.5,1,0
323,107,3,3.5,3.5,85.5,1,1
313,106,2,2.5,2,84.3,0,0
321,109,3,3.5,3.5,88,1,1
323,110,3,4,3.5,91,1,1
325,112,4,4,4,90,1,1
312,108,3,3.5,3,85.3,0,0
308,110,4,3.5,3,86,0,0
320,104,3,3,3.5,87.4,1,1
328,108,4,4.5,4,91.8,1,1
311,107,4,4.5,4.5,90,1,1
301,100,3,3.5,3,80.4,0,0
305,105,2,3,4,81.3,0,0
308,104,2,2.5,3,80.7,0,0
298,101,2,1.5,2,78.6,0,0
300,99,1,1,2.5,80.1,0,0
324,111,3,2.5,2,88,1,1
327,113,4,3.5,3,86.9,1,1
317,106,3,4,3.5,85,1,1
323,104,3,4,4,84.4,1,1
314,107,2,2.5,4,82.7,0,1
305,102,2,2,2.5,81.8,0,0
315,104,3,3,2.5,83.3,0,0
326,116,3,3.5,4,91.4,1,1
299,100,3,2,2,80.2,0,0
295,101,2,2.5,2,78.6,0,0
324,112,4,4,3.5,87.7,1,1
297,96,2,2.5,1.5,78.9,0,0
327,113,3,3.5,3,86.6,1,1
311,105,2,3,2,81.2,1,1
308,106,3,3.5,2.5,82.1,1,1
319,108,3,3,3.5,85.4,1,1
312,107,4,4.5,4,86.5,1,1
325,111,4,4,4.5,91.1,1,1
319,110,3,3,2.5,87.9,0,1
332,118,5,5,5,94.7,1,1
323,108,5,4,4,87.4,1,1
324,107,5,3.5,4,86.6,1,1
312,107,3,3,3,84.6,1,1
326,110,3,3.5,3.5,87.6,1,1
308,106,3,3,3,82.4,0,0
305,103,2,2.5,3.5,81.3,0,0
295,96,2,1.5,2,73.4,0,0
316,98,1,1.5,2,74.3,0,0
304,97,2,1.5,2,76.4,0,0
299,94,1,1,1,73.4,0,0
302,99,1,2,2,72.5,0,0
313,101,3,2.5,3,80.4,0,0
318,107,3,3,3.5,82.7,1,1
325,110,4,3.5,4,86.7,1,1
303,100,2,3,3.5,80.6,1,0
300,102,3,3.5,2.5,81.7,0,0
297,98,2,2.5,3,76.7,0,0
317,106,2,2,3.5,81.2,0,1
327,109,3,3.5,4,87.7,1,1
301,104,2,3.5,3.5,78.9,1,0
314,105,2,2.5,2,76.4,0,0
321,107,2,2,1.5,84.4,0,1
322,110,3,4,5,86.4,1,1
334,116,4,4,3.5,95.4,1,1
338,115,5,4.5,5,92.3,1,1
306,103,2,2.5,3,83.6,0,0
313,102,3,3.5,4,89,1,1
330,114,4,4.5,3,91.7,1,1
320,104,3,3.5,4.5,83.4,1,1
311,98,1,1,2.5,74.6,0,0
298,92,1,2,2,78.8,0,0
301,98,1,2,3,80.3,1,0
310,103,2,2.5,2.5,82.4,0,1
324,110,3,3.5,3,92.2,1,1
336,119,4,4.5,4,96.2,1,1
321,109,3,3,3,85.4,1,1
315,105,2,2,2.5,76.5,0,0
304,101,2,2,2.5,76.6,0,0
297,96,2,2.5,2,74.3,0,0
290,100,1,1.5,2,75.6,0,0
303,98,1,2,2.5,76.5,0,0
311,99,1,2.5,3,84.3,1,1
322,104,3,3.5,4,88.4,1,1
319,105,3,3,3.5,86.7,1,1
324,110,4,4.5,4,91.5,1,1
300,100,3,3,3.5,82.6,0,0
340,113,4,5,5,97.4,1,1
335,117,5,5,5,98.2,1,1
302,101,2,2.5,3.5,79.6,0,0
307,105,2,2,3.5,81,0,0
296,97,2,1.5,2,78,0,0
320,108,3,3.5,4,84.4,1,1
314,102,2,2,2.5,82.4,0,0
318,106,3,2,3,86.5,0,1
326,112,4,4,3.5,91.2,1,1
317,104,2,3,3,87.6,0,1
329,111,4,4.5,4,92.3,1,1
324,110,3,3.5,3.5,90.4,1,1
325,107,3,3,3.5,91.1,1,1
330,116,4,5,4.5,94.5,1,1
312,103,3,3.5,4,87.8,0,0
333,117,4,5,4,96.6,1,1
304,100,2,3.5,3,82.2,0,0
315,105,2,3,3,83.4,0,0
324,109,3,3.5,3,89.4,1,1
330,116,4,4,3.5,92.3,1,1
311,101,3,2,2.5,76.4,1,0
302,99,3,2.5,3,74.5,0,0
322,103,4,3,2.5,80.2,1,0
298,100,3,2.5,4,79.5,1,0
297,101,3,2,4,76.7,1,0
300,98,1,2,2.5,80.2,0,0
301,96,1,3,4,75.6,0,0
313,94,2,2.5,1.5,81.3,0,0
314,102,4,2.5,2,78.8,1,0
317,101,3,3,2,79.4,1,0
321,110,4,3.5,4,83.5,1,1
327,106,4,4,4.5,87.5,1,1
315,104,3,4,2.5,81,0,0
316,103,3,3.5,2,76.8,0,0
309,111,2,2.5,4,80.3,0,0
308,102,2,2,3.5,79.8,1,0
299,100,3,2,3,74.2,0,0
321,112,3,3,4.5,89.5,1,1
322,112,4,3.5,2.5,90.2,1,1
334,119,5,4.5,5,95.4,1,1
325,114,5,4,5,94.6,1,1
323,111,5,4,5,98.6,1,1
312,106,3,3,5,85.7,0,1
310,101,3,3.5,5,86.5,1,1
316,103,2,2,4.5,87.4,0,0
340,115,5,5,4.5,90.6,1,1
311,104,3,4,3.5,81.3,1,1
320,112,2,3.5,3.5,87.8,1,1
324,112,4,4.5,4,92.2,1,1
316,111,4,4,5,85.4,0,1
306,103,3,3.5,3,82.1,0,0
309,105,2,2.5,4,76.8,0,0
310,110,1,1.5,4,72.3,1,0
317,106,1,1.5,3.5,76.5,1,0
318,110,1,2.5,3.5,85.4,1,0
312,105,2,1.5,3,84.6,0,0
305,104,2,2.5,1.5,77.9,0,0
332,112,1,1.5,3,86.6,1,1
331,116,4,4.5,4.5,94.4,1,1
321,114,5,4.5,4.5,91.6,1,1
324,113,5,4,5,92.5,1,1
328,116,5,4.5,5,90.8,1,1
327,118,4,5,5,96.7,1,1
320,108,3,3.5,5,89.7,1,1
312,109,2,2.5,4,90.2,0,1
315,101,3,3.5,4.5,91.3,0,1
320,112,4,3,4.5,88.6,1,1
324,113,4,4.5,4.5,92.5,1,1
328,116,4,5,3.5,96,1,1
319,103,3,2.5,4,87.6,1,1
310,105,2,3,3.5,80.1,0,1
305,102,2,1.5,2.5,76.4,0,0
299,100,2,2,2,78.8,0,0
295,99,1,2,1.5,75.7,0,0
312,100,1,3,3,85.3,1,0
329,113,4,4,3.5,93.6,1,1
319,105,4,4,4.5,86.6,1,1
301,102,3,2.5,2,81.3,1,0
307,105,4,3,3,79.4,0,0
304,107,3,3.5,3,78.6,0,0
298,97,2,2,3,72.1,0,0
305,96,4,3,4.5,82.6,0,0
314,99,4,3.5,4.5,87.3,1,1
318,101,5,3.5,5,87.8,1,1
323,110,4,4,5,88.8,1,1
326,114,4,4,3.5,91.6,1,1
320,110,5,4,4,92.7,1,1
311,103,3,2,4,80.9,0,0
327,116,4,4,4.5,94.8,1,1
316,102,2,4,3.5,81.5,0,0
308,105,4,3,2.5,79.5,1,0
300,101,3,3.5,2.5,78.8,0,0
304,104,3,2.5,2,81.2,0,0
309,105,4,3.5,2,81.8,0,0
318,103,3,4,4.5,84.9,1,1
325,110,4,4.5,4,89.6,1,1
321,102,3,3.5,4,90.1,1,1
323,107,4,3,2.5,84.8,1,1
328,113,4,4,2.5,87.7,1,1
304,103,5,5,3,79.2,0,1
317,106,3,3.5,3,78.9,1,1
311,101,2,2.5,3.5,83.4,1,0
319,102,3,2.5,2.5,83.7,0,0
327,115,4,3.5,4,91.4,0,1
322,112,3,3,4,86.2,1,1
302,110,3,4,4.5,85,0,0
307,105,2,2.5,4.5,81.2,1,0
297,99,4,3,3.5,78.1,0,0
298,101,4,2.5,4.5,76.9,1,0
300,95,2,3,1.5,82.2,1,0
301,99,3,2.5,2,84.5,1,0
332,108,5,4.5,4,90.2,1,1
337,117,5,5,5,98.7,1,1
330,120,5,4.5,5,95.6,1,1
312,103,4,4,5,84.3,0,1
327,113,4,4.5,4.5,90.4,0,1
