type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
2,5453.65,6095.0,641.35,5212373.09,5217826.74,0,0
3,30463.94,48945.0,18481.06,0.0,0.0,0,0
2,38138.26,7265.0,0.0,388809.05,426947.31,0,0
3,1703.4,5019.0,3315.6,0.0,0.0,0,0
3,21407.15,30916.0,9508.85,0.0,0.0,0,0
2,7287.49,14728.0,7440.51,186441.03,193728.52,0,0
2,93553.01,5831.0,0.0,463071.09,556624.1,0,0
4,38238.84,25742.0,0.0,34030.42,72269.25,0,0
2,124856.45,22007.0,0.0,0.0,124856.45,0,0
4,580429.37,2808.0,0.0,73496.44,653925.8,0,0
3,19170.2,0.0,0.0,0.0,0.0,0,0
2,197770.11,6521.0,0.0,0.0,197770.11,0,0
2,23888.01,910.24,0.0,11316159.57,11340047.58,0,0
4,1490095.42,50221.0,0.0,152326.41,1642421.82,0,0
3,64076.26,0.0,0.0,0.0,0.0,0,0
1,71409.71,2025.0,73434.71,241976.34,170566.63,0,0
3,2172.37,121818.83,119646.46,0.0,0.0,0,0
1,166944.19,219075.81,386020.0,195553.74,28609.55,0,0
1,75297.79,4823799.9,4899097.69,114903.44,39605.66,0,0
2,3443.77,0.0,0.0,656468.71,659912.48,0,0
3,3804.07,0.0,0.0,0.0,0.0,0,0
2,314675.99,32958.51,0.0,1135043.98,2327534.97,0,0
2,129442.14,0.0,0.0,267794.74,397236.88,0,0
3,1745.55,0.0,0.0,0.0,0.0,0,0
2,55105.2,0.0,0.0,1985480.8,1862279.69,0,0
2,131231.74,0.0,0.0,2239525.52,2370757.26,0,0
3,7739.97,79864.0,72124.03,0.0,0.0,0,0
2,190161.88,26595.0,0.0,68300.5,258462.37,0,0
3,5255.91,0.0,0.0,0.0,0.0,0,0
3,22968.87,0.0,0.0,0.0,0.0,0,0
2,144042.77,0.0,0.0,662774.1,806816.87,0,0
2,78035.13,0.0,0.0,96221.75,174256.88,0,0
3,5933.83,0.0,0.0,0.0,0.0,0,0
3,1863.09,0.0,0.0,0.0,0.0,0,0
3,11934.92,0.0,0.0,0.0,0.0,0,0
3,1918.39,106417.0,104498.61,0.0,0.0,0,0
2,36980.88,0.0,0.0,1923243.72,1960224.6,0,0
3,8487.37,0.0,0.0,0.0,0.0,0,0
3,5656.15,184744.89,179088.75,0.0,0.0,0,0
3,4419.27,0.0,0.0,0.0,0.0,0,0
3,14100.29,61639.0,47538.71,0.0,0.0,0,0
2,387950.27,287423.24,0.0,1422827.28,1810777.55,0,0
1,81084.28,15489013.54,15570097.82,131883.58,50799.3,0,0
3,805.37,0.0,0.0,0.0,0.0,0,0
1,227724.94,518467.23,746192.18,9972698.67,9744973.73,0,0
3,2728.13,7674.0,4945.87,0.0,0.0,0,0
2,92879.23,0.0,0.0,1459490.84,1552370.07,0,0
4,1352243.27,628.0,0.0,0.0,1352243.27,0,0
4,1684204.76,82554.0,0.0,4019866.74,5704071.5,0,0
1,74671.55,478712.57,553384.12,11004591.29,11041168.06,0,0
3,23911.41,110065.88,86154.47,0.0,0.0,0,0
2,612.61,0.0,0.0,875469.74,876082.36,0,0
1,5213.48,34799.0,40012.48,147065.67,141852.19,0,0
3,20195.22,311754.18,291558.96,0.0,0.0,0,0
3,505.02,42399.0,41893.98,0.0,0.0,0,0
2,189818.15,51682.0,0.0,234427.07,424245.22,0,0
3,18733.36,15937.42,0.0,0.0,0.0,0,0
3,4846.59,100485.0,95638.41,0.0,0.0,0,0
2,271619.3,12161.0,0.0,3695080.25,3966699.54,0,0
4,237366.32,0.0,0.0,518027.24,755393.56,0,0
1,226513.34,176656.0,403169.34,6749631.53,6523118.2,0,0
4,131627.0,987752.0,856125.0,1680437.12,1812064.12,0,0
2,121481.17,10217.0,0.0,168019.71,289500.88,0,0
1,153897.29,68580.0,222477.29,268844.21,114946.92,0,0
4,1328883.46,0.0,0.0,2560970.38,3889853.84,0,0
5,6859.06,682.0,0.0,149527.52,156386.58,0,0
3,11069.04,8060.0,0.0,0.0,0.0,0,0
2,241563.17,0.0,0.0,6180516.42,6422079.59,0,0
1,191794.53,2667064.8,2858859.34,2146294.02,1954499.49,0,0
2,27968.67,0.0,0.0,182154.13,0.0,0,0
2,187588.72,0.0,0.0,2685281.43,2872870.14,0,0
2,303487.73,0.0,0.0,717323.0,1020810.73,0,0
3,3563.58,24399.0,20835.42,0.0,0.0,0,0
1,208077.31,3432560.73,3640638.05,495729.91,287652.59,0,0
4,404403.11,0.0,0.0,1097893.29,1502296.4,0,0
2,129115.78,0.0,0.0,421169.15,550284.93,0,0
4,479248.53,0.0,0.0,517249.58,996498.11,0,0
3,9300.91,0.0,0.0,0.0,0.0,0,0
2,259788.71,0.0,0.0,3867878.03,4127666.74,0,0
2,344290.07,0.0,0.0,652548.98,996839.05,0,0
1,133505.08,21396.0,154901.08,415122.64,281617.56,0,0
1,270743.99,2883877.04,3154621.03,464049.9,193305.91,0,0
2,281626.09,633.0,0.0,1289868.38,1571494.47,0,0
1,244133.3,5825336.75,6069470.05,703396.37,459263.07,0,0
3,10440.17,21528.0,11087.83,0.0,0.0,0,0
1,113784.71,1535946.87,1649731.58,792871.21,679086.5,0,0
1,232562.72,4115984.94,4348547.67,624037.5,391474.78,0,0
3,24517.31,107436.0,82918.69,0.0,0.0,0,0
2,20791.22,0.0,0.0,91131.0,111922.23,0,0
1,76977.34,187950.85,264928.19,246366.44,169389.1,0,0
1,86622.83,3354421.47,3441044.31,2362926.1,2329349.46,0,0
2,138725.15,0.0,0.0,221948.49,360673.63,0,0
3,21939.65,30559.0,8619.35,0.0,0.0,0,0
4,1244220.17,0.0,0.0,3035552.88,4279773.04,0,0
3,24303.69,0.0,0.0,0.0,0.0,0,0
1,7213.63,5604071.43,5611285.06,616583.5,609369.87,0,0
3,9275.5,10801.0,1525.5,0.0,0.0,0,0
3,2265.32,302950.0,300684.68,0.0,0.0,0,0
2,39203.04,0.0,0.0,54375.74,266990.07,0,0
3,25800.52,99099.0,73298.48,0.0,0.0,0,0
4,464847.2,291385.0,0.0,88731.94,553579.13,0,0
2,314631.65,31479.0,0.0,4098043.14,4412674.79,0,0
3,12668.58,127385.0,114716.42,0.0,0.0,0,0
3,9677.15,157.0,0.0,0.0,0.0,0,0
1,100334.82,1789961.66,1890296.48,2694088.97,2593754.15,0,0
1,56569.13,591.0,57160.13,2895733.72,2839164.58,0,0
3,23534.69,119424.0,95889.31,0.0,0.0,0,0
2,532957.71,23741.0,0.0,5250.82,538208.54,0,0
2,65907.17,0.0,0.0,1515700.63,1581607.8,0,0
3,400.81,0.0,0.0,0.0,0.0,0,0
2,116701.28,0.0,0.0,2530979.74,2647681.02,0,0
4,96817.52,66763.38,0.0,532899.92,629717.44,0,0
2,130237.66,237236.28,106998.62,2342102.76,2472340.42,0,0
3,9052.47,72299.0,63246.53,0.0,0.0,0,0
2,468329.52,0.0,0.0,6732008.34,7200337.86,0,0
1,105402.77,90021.0,195423.77,0.0,0.0,0,0
2,173985.18,0.0,0.0,178684.35,136588.21,0,0
1,8383.68,180785.49,189169.17,54414.74,46031.05,0,0
2,337522.0,702110.97,364588.97,1444489.51,1782011.5,0,0
1,184995.02,7553674.9,7738669.92,4735228.68,4550233.66,0,0
2,137723.07,0.0,0.0,249936.65,387659.72,0,0
3,12056.63,192.0,0.0,0.0,0.0,0,0
3,15874.49,292846.26,276971.77,0.0,0.0,0,0
4,1461788.45,0.0,0.0,2882101.2,4343889.66,0,0
3,1432.63,49203.3,47770.66,0.0,0.0,0,0
2,57292.69,94519.0,37226.31,0.0,57292.69,0,0
3,4084.73,13991.71,9906.98,0.0,0.0,0,0
2,117665.82,0.0,0.0,375985.9,493651.72,0,0
1,246576.59,3321693.22,3568269.81,294033.55,47456.96,0,0
3,7329.31,0.0,0.0,0.0,0.0,0,0
3,30755.01,188854.55,158099.53,0.0,0.0,0,0
3,19711.21,44959.0,25247.79,0.0,0.0,0,0
3,10790.97,0.0,0.0,0.0,0.0,0,0
1,269111.08,1342502.43,1611613.52,1702290.53,1433179.45,0,0
3,18472.16,14333.52,0.0,0.0,0.0,0,0
1,65644.91,4113277.9,4178922.82,561289.58,495644.66,0,0
2,289044.84,0.0,0.0,360021.92,649066.76,0,0
3,12274.77,107040.0,94765.23,0.0,0.0,0,0
3,1133.13,0.0,0.0,0.0,0.0,0,0
3,10579.04,97189.72,86610.68,0.0,0.0,0,0
2,137153.84,156.0,0.0,368826.7,505980.54,0,0
3,819.38,0.0,0.0,0.0,0.0,0,0
2,102739.06,0.0,0.0,4727231.43,4829970.48,0,0
1,60992.4,5574.0,66566.4,106830.78,45838.38,0,0
4,3588493.75,0.0,0.0,20004639.08,23803852.62,0,0
2,475849.57,0.0,0.0,4017049.35,4492898.91,0,0
1,239891.04,20810.0,260701.04,390934.0,151042.96,0,0
1,105101.72,52361.0,157462.72,850979.08,745877.36,0,0
3,36512.01,70824.35,34312.34,0.0,0.0,0,0
2,46932.37,0.0,0.0,1282859.79,1329792.15,0,0
3,28138.49,55122.98,26984.49,0.0,0.0,0,0
1,157276.77,15750154.56,15907431.33,1897469.92,1740193.15,0,0
2,223485.3,38063.0,0.0,707464.17,930949.46,0,0
3,13635.98,100695.0,87059.02,0.0,0.0,0,0
3,44283.57,20482.0,0.0,0.0,0.0,0,0
3,1265.85,0.0,0.0,0.0,0.0,0,0
3,9156.94,10648.0,1491.06,0.0,0.0,0,0
4,780681.25,55435.0,0.0,4783644.52,5564325.77,0,0
2,192525.06,57238.0,0.0,715160.84,907685.9,0,0
3,12264.67,66246.0,53981.33,0.0,0.0,0,0
3,5499.78,0.0,0.0,0.0,0.0,0,0
3,5262.95,0.0,0.0,0.0,0.0,0,0
1,195034.75,18928.0,213962.75,417836.97,222802.21,0,0
2,43915.32,0.0,0.0,1057116.87,1101032.19,0,0
3,15671.65,0.0,0.0,0.0,0.0,0,0
1,83695.68,19907.0,103602.68,230556.18,146860.5,0,0
2,235747.53,0.0,0.0,517221.28,752968.82,0,0
1,13618.62,20658676.79,20672295.41,19962119.18,20913132.93,0,0
2,38610.69,45232.0,6621.31,8110735.06,8149345.75,0,0
2,19289.69,161.0,0.0,3473015.57,3579375.47,0,0
2,21846.53,0.0,0.0,161687.91,276921.56,0,0
1,75900.19,9657681.0,9733581.2,227066.18,151165.99,0,0
1,94887.56,4542915.19,4637802.76,379849.25,284961.69,0,0
2,214503.89,90451.0,0.0,0.0,214503.89,0,0
3,444.3,51750.0,51305.7,0.0,0.0,0,0
2,145534.78,0.0,0.0,599868.91,745403.69,0,0
2,39486.22,61866.0,22379.78,835348.68,874834.9,0,0
1,123875.16,11101.0,134976.16,441692.99,317817.83,0,0
2,58229.28,5056.0,0.0,1112612.08,1508809.71,0,0
4,325297.44,60614.0,0.0,42286.85,367584.29,0,0
1,51220.07,122879.0,174099.07,3598082.71,3546862.65,0,0
2,173538.64,0.0,0.0,1673104.42,1846643.06,0,0
2,251152.15,0.0,0.0,6102428.42,6353580.57,0,0
3,9257.73,791712.25,782454.52,0.0,0.0,0,0
3,2466.51,0.0,0.0,0.0,0.0,0,0
4,137661.94,52051.0,0.0,0.0,137661.94,0,0
2,110069.85,191613.54,81543.69,186881.78,296951.64,0,0
2,189550.88,1237.0,0.0,237736.67,427287.56,0,0
3,28894.79,0.0,0.0,0.0,0.0,0,0
2,97580.91,189937.8,92356.89,12863.97,1131788.85,0,0
1,163621.02,3728057.14,3891678.16,657340.54,493719.52,0,0
3,3317.12,0.0,0.0,0.0,0.0,0,0
4,2668035.24,0.0,0.0,3148837.27,5816872.51,0,0
2,270635.53,0.0,0.0,1109335.29,1379970.82,0,0
2,32852.78,86698.87,53846.1,1621056.87,1653909.65,0,0
1,188839.5,19128.0,207967.5,1487721.61,1298882.12,0,0
3,10016.05,37134.13,27118.08,0.0,0.0,0,0
2,292049.49,0.0,0.0,3360747.31,3652796.8,0,0
4,971265.18,21534.0,0.0,0.0,971265.18,0,0
3,4069.83,0.0,0.0,0.0,0.0,0,0
2,193794.49,20249.0,0.0,3285633.22,3607188.34,0,0
2,147830.64,0.0,0.0,1045579.01,1193409.65,0,0
1,336646.13,19907486.95,20244133.09,2071998.87,1735352.74,0,0
3,5721.31,63723.0,58001.69,0.0,0.0,0,0
3,2418.25,68042.79,65624.54,0.0,0.0,0,0
3,28480.39,29227.06,746.68,0.0,0.0,0,0
3,206.62,0.0,0.0,0.0,0.0,0,0
3,4762.62,20169.03,15406.41,0.0,0.0,0,0
2,42868.06,1101.0,0.0,2436013.3,2478881.36,0,0
2,24507.84,202343.0,177835.16,2073145.04,2097652.88,0,0
3,8452.09,0.0,0.0,0.0,0.0,0,0
2,137989.91,52026.0,0.0,0.0,137989.91,0,0
3,1355.48,130182.89,128827.41,0.0,0.0,0,0
2,137719.65,52943.0,0.0,1090075.06,1227794.71,0,0
1,643263.77,9093.0,652356.77,286633.78,0.0,0,0
1,139710.32,1519851.31,1659561.63,1006496.71,866786.39,0,0
3,26918.25,141700.0,114781.75,0.0,0.0,0,0
2,121927.83,31157.0,0.0,132629.35,254557.18,0,0
4,823554.71,49791.0,0.0,0.0,823554.71,0,0
2,123211.08,53501.0,0.0,0.0,333160.48,0,0
2,133872.55,41318.0,0.0,222279.85,356152.4,0,0
1,67888.7,11012.0,78900.7,562636.31,494747.61,0,0
2,44953.19,107561.21,62608.02,525602.03,570555.22,0,0
1,116955.03,219290.0,336245.03,45908.59,0.0,0,0
1,97368.34,55369.0,152737.34,387827.58,290459.24,0,0
3,8162.86,11460.37,3297.51,0.0,0.0,0,0
1,227419.92,3532164.36,3759584.28,488913.48,261493.56,0,0
2,216305.71,2444.0,0.0,86513.78,302819.5,0,0
4,181686.25,14449.0,0.0,348195.33,529881.58,0,0
2,126873.49,218263.0,91389.51,289154.12,416027.61,0,0
3,12090.57,0.0,0.0,0.0,0.0,0,0
3,1830.22,11242.0,9411.78,0.0,0.0,0,0
1,476370.83,75079.95,551450.79,166129.45,0.0,0,0
2,424225.28,0.0,0.0,1045445.05,1469670.33,0,0
3,23127.9,0.0,0.0,0.0,0.0,0,0
2,420924.35,0.0,0.0,1124539.35,1545463.71,0,0
3,13034.95,51705.96,38671.02,0.0,0.0,0,0
3,21022.48,73024.15,52001.68,0.0,0.0,0,0
2,290959.3,49203.0,0.0,0.0,290959.3,0,0
3,9621.44,0.0,0.0,0.0,0.0,0,0
1,51027.11,8861469.86,8912496.97,776261.27,725234.16,0,0
3,6986.73,5048.0,0.0,0.0,0.0,0,0
2,191857.46,156099.0,0.0,2044918.82,2236776.27,0,0
2,96601.48,0.0,0.0,158938.09,255539.57,0,0
2,105433.33,22658.0,0.0,89140.49,194573.82,0,0
3,7502.58,182.0,0.0,0.0,0.0,0,0
2,342325.29,0.0,0.0,506644.93,1155805.95,0,0
3,13853.42,30658.16,16804.73,0.0,0.0,0,0
3,47520.92,0.0,0.0,0.0,0.0,0,0
3,6178.39,0.0,0.0,0.0,0.0,0,0
1,316841.62,11194.0,328035.62,14835725.48,14518883.86,0,0
1,51694.08,24977.0,76671.08,0.0,0.0,0,0
1,95422.0,18734.0,114156.0,757843.41,662421.41,0,0
3,19915.34,149376.0,129460.66,0.0,0.0,0,0
2,166996.12,19871.0,0.0,38245.0,11472.46,0,0
2,182187.18,12596.0,0.0,423558.8,605745.98,0,0
2,1394.24,19079.0,17684.76,393638.42,395032.66,0,0
3,5514.06,0.0,0.0,0.0,0.0,0,0
2,206943.24,2808.0,0.0,0.0,206943.24,0,0
3,29711.29,240333.03,210621.74,0.0,0.0,0,0
1,246171.06,11397936.26,11644107.32,3583249.36,3337078.3,0,0
3,13183.45,137238.0,124054.55,0.0,0.0,0,0
2,4688.48,185870.0,181181.52,0.0,4688.48,0,0
3,14368.32,0.0,0.0,0.0,0.0,0,0
1,148215.76,49641.0,197856.76,55502.79,0.0,0,0
2,109691.25,141.0,0.0,5642120.04,5751811.29,0,0
4,29735.9,0.0,0.0,14238030.27,14267766.17,0,0
1,138148.0,103294.0,241442.0,0.0,0.0,0,0
3,14847.26,848701.83,833854.58,0.0,0.0,0,0
2,10774.34,39866.0,29091.66,614669.11,625443.46,0,0
1,100423.68,44546.0,144969.68,1718016.5,1617592.81,0,0
1,120498.28,274846.48,395344.76,3263837.92,3143339.64,0,0
3,25608.46,5362.76,0.0,0.0,0.0,0,0
2,67556.86,20009.0,0.0,284465.14,352022.0,0,0
2,101580.45,498626.0,397045.55,636047.64,737628.08,0,0
1,50761.41,10148009.5,10198770.91,1214461.86,1163700.44,0,0
2,20495.46,0.0,0.0,8406013.39,8426508.86,0,0
3,12863.51,0.0,0.0,0.0,0.0,0,0
1,39162.92,9972.0,49134.92,27578.07,0.0,0,0
2,27034.63,55999.0,28964.37,760382.43,787417.06,0,0
3,12948.3,18494.0,5545.7,0.0,0.0,0,0
1,94074.28,3066137.5,3160211.78,11835401.25,11741326.97,0,0
1,94428.19,50223.0,144651.19,71335.27,0.0,0,0
3,2103.21,20663.0,18559.79,0.0,0.0,0,0
2,139964.67,21395.0,0.0,0.0,139964.67,0,0
2,43314.13,0.0,0.0,365021.0,408335.13,0,0
5,223.02,50542.0,50318.98,400303.2,400526.22,0,0
1,159609.46,5794700.92,5954310.38,272699.94,113090.48,0,0
3,6472.65,287974.23,281501.59,0.0,0.0,0,0
3,10291.76,109043.0,98751.24,0.0,0.0,0,0
2,129328.94,0.0,0.0,436100.14,565429.08,0,0
3,25328.94,49521.0,24192.06,0.0,0.0,0,0
2,237006.8,0.0,0.0,590166.46,827173.26,0,0
3,11855.53,334.0,0.0,0.0,0.0,0,0
1,178716.65,2303826.14,2482542.79,309486.61,130769.96,0,0
3,4306.54,0.0,0.0,0.0,0.0,0,0
2,103433.69,215953.0,112519.31,133146.32,236580.01,0,0
2,97311.89,6481.0,0.0,0.0,156876.6,0,0
3,6129.25,183492.07,177362.82,0.0,0.0,0,0
1,65730.29,5852448.14,5918178.44,322806.99,257076.7,0,0
3,11193.04,101605.0,90411.96,0.0,0.0,0,0
2,42009.32,201580.51,159571.19,668796.77,710806.09,0,0
3,19375.51,7462.0,0.0,0.0,0.0,0,0
1,278084.67,6048345.34,6326430.01,1224029.24,945944.57,0,0
3,1172.03,27645.0,26472.97,0.0,0.0,0,0
1,150188.49,16441541.55,16591730.03,236765.96,86577.47,0,0
1,79944.31,7475.0,87419.31,0.0,0.0,0,0
1,57490.61,298289.37,355779.98,1073466.49,1015975.87,0,0
2,56877.89,9300.0,0.0,0.0,56877.89,0,0
1,94432.37,28833406.41,28927838.79,1671491.23,1577058.85,0,0
2,15993.8,0.0,0.0,507740.82,523734.62,0,0
1,51878.91,7416770.32,7468649.24,889334.09,837455.18,0,0
3,4749.58,0.0,0.0,0.0,0.0,0,0
3,17127.85,0.0,0.0,0.0,0.0,0,0
1,127521.37,8052329.35,8179850.72,3932779.96,3805258.6,0,0
2,14245.27,20281.0,6035.73,177751.09,191996.35,0,0
1,238611.26,377.0,238988.26,89059.67,0.0,0,0
2,146153.93,3079.0,0.0,235910.02,382063.95,0,0
2,350469.66,45675.0,0.0,0.0,350469.66,0,0
4,99046.44,0.0,0.0,18914471.08,19013517.52,0,0
3,43314.39,0.0,0.0,0.0,0.0,0,0
1,166788.26,17440800.09,17607588.35,1610687.02,1443898.76,0,0
3,8750.92,198591.0,189840.08,0.0,0.0,0,0
3,6546.08,17075.0,10528.92,0.0,0.0,0,0
2,106153.05,0.0,0.0,367510.91,473663.96,0,0
1,479289.69,15624.0,494913.69,1070568.51,591278.82,0,0
2,18868.1,0.0,0.0,67482.15,86350.26,0,0
4,1648560.36,0.0,0.0,1991253.83,3639814.19,0,0
2,132366.62,0.0,0.0,1016337.23,1148703.85,0,0
2,2568.85,1911.0,0.0,4262864.6,4265433.45,0,0
2,33761.18,0.0,0.0,4340704.41,4587092.72,0,0
2,229386.28,72111.0,0.0,0.0,229386.28,0,0
1,35394.69,60715.0,96109.69,17254.68,0.0,0,0
2,232842.81,0.0,0.0,7109562.76,7342405.56,0,0
3,717.58,810663.25,809945.67,0.0,0.0,0,0
3,10873.09,52182.0,41308.91,0.0,0.0,0,0
3,27378.13,3655.13,0.0,0.0,0.0,0,0
2,126742.79,72874.0,0.0,2456647.12,2583389.91,0,0
4,2021610.78,0.0,0.0,6540924.99,8562535.77,0,0
2,221136.86,0.0,0.0,742679.33,963816.19,0,0
2,332141.88,21485.0,0.0,0.0,332141.88,0,0
2,47304.22,0.0,0.0,1132452.51,1179756.73,0,0
2,181159.81,7650.0,0.0,190312.61,371472.42,0,0
1,32998.26,3120625.38,3153623.65,713322.98,680324.72,0,0
1,178175.95,407.0,178582.95,8071.77,0.0,0,0
1,384263.59,19284560.25,19668823.84,1018290.37,634026.78,0,0
2,120946.66,9242.64,0.0,1155636.7,1276583.36,0,0
2,185250.47,0.0,0.0,609845.12,795095.58,0,0
3,370.3,269970.0,269599.7,0.0,0.0,0,0
2,52757.33,0.0,0.0,1997782.94,2050540.27,0,0
3,81.27,0.0,0.0,0.0,0.0,0,0
3,183.51,27254.52,27071.01,0.0,0.0,0,0
2,55930.49,204.0,0.0,159188.72,215119.22,0,0
3,2211.38,72734.0,70522.62,0.0,0.0,0,0
1,77346.35,2239373.78,2316720.13,1497845.57,1420499.22,0,0
3,13529.59,0.0,0.0,0.0,0.0,0,0
2,34764.08,217.0,0.0,0.0,34764.08,0,0
3,15584.85,0.0,0.0,0.0,0.0,0,0
2,110005.9,107878.0,0.0,1004435.1,1114441.0,0,0
2,136041.84,0.0,0.0,215558.87,351600.71,0,0
3,10214.44,19284.0,9069.56,0.0,0.0,0,0
2,62991.68,0.0,0.0,259571.97,322563.64,0,0
2,426924.68,13328.0,0.0,4212323.83,4639248.51,0,0
3,1016.79,0.0,0.0,0.0,0.0,0,0
3,35473.89,33479.0,0.0,0.0,0.0,0,0
4,119709.12,22266.0,0.0,0.0,119709.12,0,0
2,163328.88,0.0,0.0,748152.83,911481.71,0,0
3,17357.42,30955.0,13597.58,0.0,0.0,0,0
2,216123.01,60170.0,0.0,2115129.21,2331252.21,0,0
4,322347.18,166890.0,0.0,78017.48,400364.67,0,0
2,81876.14,6385.0,0.0,203819.11,285695.25,0,0
2,169409.73,0.0,0.0,1676893.81,1846303.53,0,0
2,159984.84,0.0,0.0,3670976.31,3866632.03,0,0
3,6801.34,0.0,0.0,0.0,0.0,0,0
2,42671.28,0.0,0.0,362252.0,404923.28,0,0
3,1847.56,23431.0,21583.44,0.0,0.0,0,0
3,2015.17,14061.0,12045.83,0.0,0.0,0,0
4,27234.91,0.0,0.0,160148.43,187383.34,0,0
3,30048.39,264875.32,234826.94,0.0,0.0,0,0
2,188028.69,103594.0,0.0,217868.49,405897.17,0,0
2,416604.91,662829.96,246225.05,1957869.99,2374474.9,0,0
2,171391.09,0.0,0.0,13792681.29,16063200.43,0,0
3,697.98,0.0,0.0,0.0,0.0,0,0
3,10711.83,0.0,0.0,0.0,0.0,0,0
2,499884.58,199817.0,0.0,386971.38,886855.97,0,0
1,60941.06,1624878.04,1685819.11,90046.49,29105.42,0,0
4,1543590.7,27592.44,0.0,2193374.32,3736965.02,0,0
3,39069.46,0.0,0.0,0.0,0.0,0,0
1,183381.38,3115036.33,3298417.71,1855112.3,1671730.93,0,0
3,18459.94,11319.0,0.0,0.0,0.0,0,0
4,914767.58,0.0,0.0,1531661.49,2446429.07,0,0
2,275649.49,25007.0,0.0,934149.59,1209799.08,0,0
1,128049.65,8903.0,136952.65,17211.45,0.0,0,0
3,76.1,117721.19,117645.08,0.0,0.0,0,0
2,192244.48,0.0,0.0,1863932.38,2056176.85,0,0
3,607.33,10373.0,9765.67,0.0,0.0,0,0
2,186742.99,29504.0,0.0,421179.01,607921.99,0,0
2,64450.85,52557.0,0.0,0.0,64450.85,0,0
3,4368.44,0.0,0.0,0.0,0.0,0,0
2,62954.94,0.0,0.0,111388.63,174343.56,0,0
2,262988.91,91260.0,0.0,421320.34,684309.26,0,0
1,62489.62,1798804.95,1861294.57,1209156.63,1146667.01,0,0
2,16202.61,181.0,0.0,152521.85,168724.46,0,0
2,167080.33,50186.0,0.0,659290.26,826370.59,0,0
3,20392.52,95558.0,75165.48,0.0,0.0,0,0
1,55426.93,6187412.2,6242839.14,861130.19,805703.26,0,0
3,3941.32,920560.0,916618.68,0.0,0.0,0,0
3,6474.8,31423.0,24948.2,0.0,0.0,0,0
1,261864.31,35366.0,297230.31,889438.52,627574.2,0,0
3,7052.92,67188.0,60135.08,0.0,0.0,0,0
3,551.46,200.0,0.0,0.0,0.0,0,0
2,95735.71,91440.0,0.0,1219713.84,1315449.55,0,0
2,103770.86,0.0,0.0,4121448.82,4225219.68,0,0
2,46402.23,0.0,0.0,3228900.67,3275302.9,0,0
